t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.2670,0.5160,0.5850,1.0000,,1787301770973.9937,25.4750,18.6400,20.9600,0.5000,1787301770984.4968,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2670,0.5160,0.5850,1.0000,,1787301771029.6179,25.4750,18.6400,20.9600,0.5000,1787301771029.6179,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2670,0.5170,0.5830,1.0000,,1787301771050.9214,25.4050,18.6400,21.0200,0.5000,1787301771052.0012,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2680,0.5170,0.5830,1.0000,,1787301771079.5002,25.4050,18.5600,21.0200,0.5000,1787301771079.5002,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2680,0.5170,0.5830,1.0000,,1787301771106.4348,25.4050,18.5600,21.0200,0.5000,1787301771108.7698,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2690,0.5170,0.5830,1.0000,,1787301771136.8105,25.4050,18.4800,21.0200,0.5000,1787301771136.8105,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2690,0.5170,0.5850,1.0000,,1787301771192.9580,25.4750,18.4800,21.0200,0.5000,1787301771192.9580,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2700,0.5170,0.5860,1.0000,,1787301771214.8926,25.5100,18.4000,21.0200,0.5000,1787301771214.8926,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2700,0.5170,0.5860,1.0000,,1787301771254.7625,25.5100,18.4000,21.0200,0.5000,1787301771256.8096,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2710,0.5170,0.5860,1.0000,,1787301771279.0208,25.5100,18.3200,21.0200,0.5000,1787301771279.0208,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2730,0.5170,0.5880,1.0000,,1787301771325.5757,25.5800,18.1600,21.0200,0.5000,1787301771330.9138,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2730,0.5170,0.5880,1.0000,,1787301771356.5068,25.5800,18.1600,21.0200,0.5000,1787301771356.5068,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2740,0.5160,0.5880,1.0000,,1787301771533.1189,25.5800,18.0800,20.9600,0.5000,1787301771533.1189,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2730,0.5170,0.5840,1.0000,,1787301771556.4775,25.4400,18.1600,21.0200,0.5000,1787301771556.4775,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
,0.2730,0.5160,0.5840,1.0000,,1787301771718.4893,25.4400,18.1600,20.9600,0.5000,1787301771720.0498,False,,,1,OP1,C3_WIFI_CARGA_ALTA,medio
