t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.5060,0.3930,0.4860,0.6870,,1787341487850.8770,22.0100,-0.4800,13.5800,0.7817,1787341487866.4014,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5060,0.3930,0.4860,0.6850,,1787341487878.2935,22.0100,-0.4800,13.5800,0.7835,1787341487878.2935,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5050,0.3920,0.4860,0.6840,,1787341487906.5461,22.0100,-0.4000,13.5200,0.7844,1787341487908.5591,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5050,0.3920,0.4860,0.6830,,1787341487926.9775,22.0100,-0.4000,13.5200,0.7853,1787341487926.9775,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5050,0.3920,0.4860,0.6820,,1787341487958.8484,22.0100,-0.4000,13.5200,0.7862,1787341487965.5308,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5040,0.3920,0.4870,0.6810,,1787341487991.0276,22.0450,-0.3200,13.5200,0.7871,1787341487991.7334,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5040,0.3920,0.4870,0.6810,,1787341488045.8894,22.0450,-0.3200,13.5200,0.7871,1787341488045.8894,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5030,0.3920,0.4880,0.6810,,1787341488074.6399,22.0800,-0.2400,13.5200,0.7871,1787341488075.2783,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5030,0.3920,0.4880,0.6810,,1787341488101.3962,22.0800,-0.2400,13.5200,0.7871,1787341488101.3962,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5020,0.3920,0.4880,0.6810,,1787341488124.8821,22.0800,-0.1600,13.5200,0.7871,1787341488124.8821,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5020,0.3920,0.4880,0.6810,,1787341488157.7366,22.0800,-0.1600,13.5200,0.7871,1787341488159.7363,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5020,0.3920,0.4880,0.6810,,1787341488183.3066,22.0800,-0.1600,13.5200,0.7871,1787341488183.3066,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5030,0.3920,0.4880,0.6810,,1787341488213.5203,22.0800,-0.2400,13.5200,0.7871,1787341488215.5325,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5030,0.3920,0.4890,0.6820,,1787341488240.9319,22.1150,-0.2400,13.5200,0.7862,1787341488243.8872,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5030,0.3910,0.4890,0.6830,,1787341488263.1089,22.1150,-0.2400,13.4600,0.7853,1787341488263.1089,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5030,0.3910,0.4900,0.6860,,1787341488291.1084,22.1500,-0.2400,13.4600,0.7826,1787341488291.1084,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5040,0.3900,0.4900,0.6880,,1787341488314.0591,22.1500,-0.3200,13.4000,0.7808,1787341488314.0591,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5040,0.3890,0.4910,0.6900,,1787341488350.1289,22.1850,-0.3200,13.3400,0.7790,1787341488350.1289,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5050,0.3880,0.4920,0.6920,,1787341488380.6562,22.2200,-0.4000,13.2800,0.7772,1787341488381.8931,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5050,0.3860,0.4930,0.6940,,1787341488409.6570,22.2550,-0.4000,13.1600,0.7754,1787341488410.2959,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5060,0.3840,0.4950,0.6960,,1787341488455.6763,22.3250,-0.4800,13.0400,0.7736,1787341488466.0027,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5070,0.3840,0.4960,0.6970,,1787341488490.8828,22.3600,-0.5600,13.0400,0.7727,1787341488490.8828,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5070,0.3830,0.5000,0.6980,,1787341488513.2056,22.5000,-0.5600,12.9800,0.7718,1787341488520.9189,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5080,0.3810,0.5030,0.6990,,1787341488545.6609,22.6050,-0.6400,12.8600,0.7709,1787341488545.6609,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5090,0.3800,0.5050,0.7020,,1787341488574.3926,22.6750,-0.7200,12.8000,0.7682,1787341488574.3926,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
,0.5090,0.3790,0.5050,0.7060,,1787341488602.3765,22.6750,-0.7200,12.7400,0.7646,1787341488604.4038,False,,,1,OP1,C1_ETHERNET_SIN_CARGA,medio
