t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.4280,0.3180,0.4090,0.9430,,1787349797774.9341,19.3150,5.7600,9.0800,0.5513,1787349797774.9341,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4280,0.3180,0.4090,0.9410,,1787349797824.7427,19.3150,5.7600,9.0800,0.5531,1787349797824.7427,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4280,0.3180,0.4100,0.9420,,1787349797848.2979,19.3500,5.7600,9.0800,0.5522,1787349797848.2979,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4280,0.3180,0.4110,0.9430,,1787349797877.0642,19.3850,5.7600,9.0800,0.5513,1787349797877.0642,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4270,0.3180,0.4110,0.9440,,1787349797915.4834,19.3850,5.8400,9.0800,0.5504,1787349797915.4834,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4270,0.3170,0.4120,0.9450,,1787349797950.4343,19.4200,5.8400,9.0200,0.5495,1787349797950.4343,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4270,0.3170,0.4110,0.9460,,1787349798184.1565,19.3850,5.8400,9.0200,0.5486,1787349798184.1565,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4270,0.3160,0.4120,0.9930,,1787349798221.7024,19.4200,5.8400,8.9600,0.5063,1787349798221.7024,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4280,0.3150,0.4110,1.0000,,1787349798248.5127,19.3850,5.7600,8.9000,0.5000,1787349798248.5127,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
,0.4280,0.3140,0.4110,1.0000,,1787349798269.9299,19.3850,5.7600,8.8400,0.5000,1787349798269.9299,False,,,1,OP1,C3_ETHERNET_CLUMSY_CARGA_ALTA,medio
