metrica,archivo,condicion,comandos,duracion_s,frecuencia_hz,distancia_cm,eje_dominante,rango_cm,correcciones,tasa_correccion_por_min
M2,funcional_C1_WIFI_SIN_CARGA_OP1_20260821_214337.csv,C1_WIFI_SIN_CARGA,1072,32.2,33.3,247.18,Y,32.16,97,180.77
M2,funcional_C1_WIFI_SIN_CARGA_OP1_20260821_215227.csv,C1_WIFI_SIN_CARGA,10808,326.15,33.14,1118.6,Z,29.1,688,126.57
M2,funcional_C1_WIFI_SIN_CARGA_OP1_20260821_221001.csv,C1_WIFI_SIN_CARGA,22267,676.23,32.93,4086.39,Z,41.7,1558,138.24
M2,funcional_C1_WIFI_SIN_CARGA_OP1_20260821_222143.csv,C1_WIFI_SIN_CARGA,28610,884.2,32.36,3721.88,Z,37.8,2178,147.8
M2,funcional_C2_WIFI_CARGA_MEDIA_OP1_20260821_230130.csv,C2_WIFI_CARGA_MEDIA,11467,800.93,14.32,3034.12,Y,34.88,1593,119.34
M2,funcional_C2_WIFI_CARGA_MEDIA_OP1_20260821_231509.csv,C2_WIFI_CARGA_MEDIA,1657,126.81,13.07,773.45,Z,54.06,251,118.77
M2,funcional_C2_WIFI_CARGA_MEDIA_OP1_20260821_231925.csv,C2_WIFI_CARGA_MEDIA,1108,120.66,9.18,783.54,Z,41.7,185,91.99
M2,funcional_C2_WIFI_CARGA_MEDIA_OP1_20260821_232159.csv,C2_WIFI_CARGA_MEDIA,1677,185.51,9.04,948.57,Z,34.56,262,84.74
M2,funcional_C3_WIFI_CARGA_ALTA_OP1_20260822_000133.csv,C3_WIFI_CARGA_ALTA,1181,54.74,21.58,247.73,Z,28.14,110,120.58
M2,funcional_C3_WIFI_CARGA_ALTA_OP1_20260822_000312.csv,C3_WIFI_CARGA_ALTA,3008,134.84,22.31,616.78,Y,41.68,282,125.48
M2,funcional_C3_WIFI_CARGA_ALTA_OP1_20260822_000545.csv,C3_WIFI_CARGA_ALTA,1468,69.67,21.07,299.88,Z,26.1,148,127.46
M2,funcional_C3_WIFI_CARGA_ALTA_OP1_20260822_000715.csv,C3_WIFI_CARGA_ALTA,9531,431.33,22.1,2061.13,Z,38.82,934,129.92
M2,funcional_C3_WIFI_CARGA_ALTA_OP1_20260822_001455.csv,C3_WIFI_CARGA_ALTA,7720,347.0,22.25,1795.66,Y,50.0,812,140.4
