t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.4770,0.4660,0.4140,0.7130,,1787595372052.2832,19.4900,1.8400,17.9600,0.6514,1787595372064.2939,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4650,0.4140,0.7120,,1787595372080.5879,19.4900,1.9200,17.9000,0.6524,1787595372080.5879,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4650,0.4140,0.7110,,1787595372105.8472,19.4900,1.9200,17.9000,0.6535,1787595372105.8472,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4650,0.4140,0.7110,,1787595372135.3931,19.4900,1.9200,17.9000,0.6535,1787595372135.3931,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4650,0.4140,0.7110,,1787595372157.3494,19.4900,1.9200,17.9000,0.6535,1787595372157.3494,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4640,0.4140,0.7120,,1787595372183.7842,19.4900,1.9200,17.8400,0.6524,1787595372183.7842,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4640,0.4140,0.7140,,1787595372215.9927,19.4900,1.9200,17.8400,0.6503,1787595372215.9927,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4640,0.4140,0.7150,,1787595372243.7427,19.4900,1.9200,17.8400,0.6493,1787595372243.7427,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4630,0.4150,0.7170,,1787595372270.4429,19.5250,1.9200,17.7800,0.6472,1787595372277.1206,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4630,0.4150,0.7180,,1787595372303.0618,19.5250,1.9200,17.7800,0.6461,1787595372303.0618,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4760,0.4630,0.4160,0.7200,,1787595372332.2383,19.5600,1.9200,17.7800,0.6440,1787595372334.2488,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4770,0.4630,0.4160,0.7220,,1787595372355.0649,19.5600,1.8400,17.7800,0.6419,1787595372355.0649,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4770,0.4630,0.4170,0.7230,,1787595372380.8958,19.5950,1.8400,17.7800,0.6409,1787595372380.8958,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4770,0.4630,0.4170,0.7240,,1787595372413.7932,19.5950,1.8400,17.7800,0.6398,1787595372413.7932,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4770,0.4630,0.4180,0.7240,,1787595372439.6072,19.6300,1.8400,17.7800,0.6398,1787595372439.6072,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4770,0.4630,0.4190,0.7220,,1787595372469.6099,19.6650,1.8400,17.7800,0.6419,1787595372469.6099,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4770,0.4630,0.4200,0.7210,,1787595372498.2161,19.7000,1.8400,17.7800,0.6430,1787595372500.2266,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4770,0.4640,0.4210,0.7190,,1787595372523.8157,19.7350,1.8400,17.8400,0.6451,1787595372523.8157,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4780,0.4630,0.4220,0.7160,,1787595372548.9529,19.7700,1.7600,17.7800,0.6482,1787595372548.9529,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4780,0.4640,0.4230,0.7140,,1787595372579.8496,19.8050,1.7600,17.8400,0.6503,1787595372579.8496,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4780,0.4640,0.4230,0.7110,,1787595372608.7871,19.8050,1.7600,17.8400,0.6535,1787595372608.7871,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4780,0.4640,0.4230,0.7090,,1787595372636.4521,19.8050,1.7600,17.8400,0.6556,1787595372638.4697,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4790,0.4650,0.4220,0.7090,,1787595372664.6060,19.7700,1.6800,17.9000,0.6556,1787595372665.3538,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4830,0.4680,0.4220,0.7140,,1787595372714.9167,19.7700,1.3600,18.0800,0.6503,1787595372714.9167,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4860,0.4720,0.4180,0.7180,,1787595372746.7944,19.6300,1.1200,18.3200,0.6461,1787595372746.7944,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4910,0.4750,0.4130,0.7210,,1787595372776.5107,19.4550,0.7200,18.5000,0.6430,1787595372776.5107,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.4960,0.4780,0.4080,0.7240,,1787595372804.3108,19.2800,0.3200,18.6800,0.6398,1787595372804.3108,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5000,0.4780,0.4060,0.7250,,1787595372830.5793,19.2100,0.0000,18.6800,0.6388,1787595372830.5793,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5030,0.4780,0.4060,0.7240,,1787595372861.2073,19.2100,-0.2400,18.6800,0.6398,1787595372861.2073,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5060,0.4770,0.4070,0.7230,,1787595372884.0920,19.2450,-0.4800,18.6200,0.6409,1787595372884.0920,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5100,0.4740,0.4070,0.7220,,1787595372916.8130,19.2450,-0.8000,18.4400,0.6419,1787595372916.8130,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5130,0.4720,0.4070,0.7200,,1787595372942.7566,19.2450,-1.0400,18.3200,0.6440,1787595372942.7566,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5170,0.4690,0.4080,0.7190,,1787595372972.8269,19.2800,-1.3600,18.1400,0.6451,1787595372972.8269,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5170,0.4690,0.4070,0.7190,,1787595372999.4382,19.2450,-1.3600,18.1400,0.6451,1787595373000.4526,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5180,0.4680,0.4070,0.7180,,1787595373050.9509,19.2450,-1.4400,18.0800,0.6461,1787595373050.9509,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5180,0.4670,0.4060,0.7160,,1787595373111.1484,19.2100,-1.4400,18.0200,0.6482,1787595373111.1484,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5180,0.4660,0.4060,0.7140,,1787595373138.2634,19.2100,-1.4400,17.9600,0.6503,1787595373138.2634,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5170,0.4660,0.4060,0.7130,,1787595373164.6807,19.2100,-1.3600,17.9600,0.6514,1787595373164.6807,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
,0.5170,0.4650,0.4060,0.7110,,1787595373194.3110,19.2100,-1.3600,17.9000,0.6535,1787595373197.0024,False,,,1,OP1,C1_WIFI_SIN_CARGA,medio
