t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.437,0.613,0.743,0.0,,1787595396714.2058,31.005,5.04,26.78,1.4,1787595396724.6326,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.437,0.613,0.742,0.0,,1787595396747.2136,30.97,5.04,26.78,1.4,1787595396747.2136,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.437,0.613,0.742,0.0,,1787595396769.712,30.97,5.04,26.78,1.4,1787595396769.712,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.437,0.613,0.743,0.0,,1787595396802.1309,31.005,5.04,26.78,1.4,1787595396802.1309,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.437,0.613,0.743,0.0,,1787595396832.5127,31.005,5.04,26.78,1.4,1787595396834.5242,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.438,0.612,0.744,0.0,,1787595396862.285,31.04,4.96,26.72,1.4,1787595396862.285,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.44,0.612,0.745,0.0,,1787595396885.329,31.075,4.8,26.72,1.4,1787595396885.329,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.445,0.611,0.747,0.0,,1787595396909.329,31.145,4.4,26.66,1.4,1787595396909.329,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.454,0.61,0.747,0.0,,1787595396938.702,31.145,3.68,26.6,1.4,1787595396938.702,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.468,0.607,0.746,0.0,,1787595396971.8318,31.11,2.56,26.42,1.4,1787595396971.8318,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.48,0.605,0.745,0.0,,1787595397000.8315,31.075,1.6,26.3,1.4,1787595397000.8315,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.491,0.603,0.743,0.0,,1787595397025.1555,31.005,0.72,26.18,1.4,1787595397025.1555,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.503,0.601,0.742,0.0,,1787595397056.3665,30.97,-0.24,26.06,1.4,1787595397057.2854,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.523,0.599,0.738,0.0,,1787595397107.0298,30.83,-1.84,25.94,1.4,1787595397107.0298,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.531,0.598,0.736,0.0,,1787595397134.852,30.76,-2.48,25.88,1.4,1787595397140.3818,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.539,0.596,0.734,0.0,,1787595397166.3442,30.69,-3.12,25.76,1.4,1787595397166.3442,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.542,0.596,0.731,0.0,,1787595397194.2815,30.585,-3.36,25.76,1.4,1787595397196.806,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.545,0.595,0.73,0.0,,1787595397222.025,30.55,-3.6,25.7,1.4,1787595397222.025,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.547,0.594,0.729,0.0,,1787595397248.3403,30.515,-3.76,25.64,1.4,1787595397248.3403,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.549,0.592,0.73,0.0,,1787595397275.0962,30.55,-3.92,25.52,1.4,1787595397275.0962,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.554,0.587,0.73,0.0,,1787595397297.566,30.55,-4.32,25.22,1.4,1787595397308.2449,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.56,0.582,0.731,0.0,,1787595397332.9688,30.585,-4.8,24.92,1.4,1787595397332.9688,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.568,0.576,0.735,0.0,,1787595397362.4397,30.725,-5.44,24.56,1.4,1787595397362.4397,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.575,0.571,0.729,0.0,,1787595397387.344,30.515,-6.0,24.26,1.4,1787595397391.559,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.581,0.567,0.724,0.0,,1787595397419.3464,30.34,-6.48,24.02,1.4,1787595397419.3464,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.586,0.564,0.718,0.0,,1787595397442.069,30.13,-6.88,23.84,1.4,1787595397447.6235,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.589,0.561,0.715,0.0,,1787595397472.538,30.025,-7.12,23.66,1.4,1787595397472.538,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.591,0.558,0.713,0.0,,1787595397501.8767,29.955,-7.28,23.48,1.4,1787595397501.8767,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.593,0.555,0.712,0.0,,1787595397530.7207,29.92,-7.44,23.3,1.4,1787595397530.7207,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.597,0.546,0.712,0.0,,1787595397576.053,29.92,-7.76,22.76,1.4,1787595397576.053,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.6,0.542,0.713,0.0,,1787595397611.2805,29.955,-8.0,22.52,1.4,1787595397611.2805,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.604,0.537,0.716,0.0,,1787595397636.5234,30.06,-8.32,22.22,1.4,1787595397636.5234,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.606,0.533,0.718,0.0,,1787595397667.914,30.13,-8.48,21.98,1.4,1787595397669.9229,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.608,0.529,0.719,0.0,,1787595397697.1577,30.165,-8.64,21.74,1.4,1787595397697.1577,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.609,0.527,0.72,0.0,,1787595397721.813,30.2,-8.72,21.62,1.4,1787595397727.0051,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.61,0.525,0.721,0.0,,1787595397747.164,30.235,-8.8,21.5,1.4,1787595397747.164,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.61,0.524,0.721,0.0,,1787595397779.0547,30.235,-8.8,21.44,1.4,1787595397779.0547,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.61,0.522,0.721,0.0,,1787595397799.2195,30.235,-8.8,21.32,1.4,1787595397799.2195,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.609,0.519,0.722,0.0,,1787595397835.8218,30.27,-8.72,21.14,1.4,1787595397837.8325,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.608,0.514,0.723,0.0,,1787595397865.0337,30.305,-8.64,20.84,1.4,1787595397865.0337,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.607,0.509,0.725,0.0,,1787595397888.2422,30.375,-8.56,20.54,1.4,1787595397894.39,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.608,0.501,0.73,0.0,,1787595397913.4111,30.55,-8.64,20.06,1.4,1787595397913.4111,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.608,0.489,0.738,0.0,,1787595397947.0784,30.83,-8.64,19.34,1.4,1787595397947.8562,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.609,0.48,0.74,0.0,,1787595397974.1887,30.9,-8.72,18.8,1.4,1787595397974.1887,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.61,0.474,0.74,0.0,,1787595398002.0278,30.9,-8.8,18.44,1.4,1787595398004.0415,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.611,0.472,0.74,0.0,,1787595398030.813,30.9,-8.88,18.32,1.4,1787595398031.7766,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
,0.611,0.469,0.739,0.0,,1787595398057.782,30.865,-8.88,18.14,1.4,1787595398057.782,False,,,1,OP1,C1_WIFI_SIN_CARGA,N1
