t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.272,0.274,0.718,1.0,,1787595805115.6824,30.13,18.24,6.44,0.35,1787595805115.6824,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.272,0.275,0.718,1.0,,1787595805147.205,30.13,18.24,6.5,0.35,1787595805147.205,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.272,0.275,0.718,1.0,,1787595805177.0544,30.13,18.24,6.5,0.35,1787595805177.0544,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.273,0.276,0.718,1.0,,1787595805207.6604,30.13,18.16,6.56,0.35,1787595805208.1655,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.275,0.277,0.72,1.0,,1787595805235.4255,30.2,18.0,6.62,0.35,1787595805235.4255,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.278,0.279,0.722,1.0,,1787595805261.1743,30.27,17.76,6.74,0.35,1787595805264.1165,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.281,0.282,0.724,1.0,,1787595805281.2107,30.34,17.52,6.92,0.35,1787595805281.2107,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.283,0.282,0.726,1.0,,1787595805315.9055,30.41,17.36,6.92,0.35,1787595805315.9055,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.285,0.282,0.727,1.0,,1787595805346.9165,30.445,17.2,6.92,0.35,1787595805346.9165,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.286,0.281,0.728,1.0,,1787595805372.7288,30.48,17.12,6.86,0.35,1787595805374.736,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.288,0.279,0.73,1.0,,1787595805402.001,30.55,16.96,6.74,0.35,1787595805402.001,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.289,0.278,0.731,1.0,,1787595805451.777,30.585,16.88,6.68,0.35,1787595805451.777,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.289,0.277,0.731,1.0,,1787595805484.2087,30.585,16.88,6.62,0.35,1787595805486.2207,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.289,0.276,0.731,1.0,,1787595805510.9963,30.585,16.88,6.56,0.35,1787595805510.9963,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
,0.289,0.275,0.732,1.0,,1787595805540.3723,30.62,16.88,6.5,0.35,1787595805540.3723,False,,,4,OP1,C1_WIFI_SIN_CARGA,medio
