t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.7000,0.2210,0.1780,0.7730,,1787592925100.9102,11.2300,-16.0000,3.2600,0.5884,1787592925102.9224,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.7000,0.2200,0.1780,0.7770,,1787592925141.6099,11.2300,-16.0000,3.2000,0.5842,1787592925141.6099,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.7000,0.2200,0.1790,0.7810,,1787592925169.0212,11.2650,-16.0000,3.2000,0.5799,1787592925174.3875,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2200,0.1790,0.7840,,1787592925190.2668,11.2650,-15.9200,3.2000,0.5768,1787592925193.8447,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2200,0.1800,0.7870,,1787592925230.3342,11.3000,-15.9200,3.2000,0.5736,1787592925232.3496,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2190,0.1810,0.7910,,1787592925283.1514,11.3350,-15.9200,3.1400,0.5695,1787592925285.1633,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2190,0.1810,0.7990,,1787592925453.1431,11.3350,-15.9200,3.1400,0.5611,1787592925453.1431,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.7000,0.2170,0.1810,0.8940,,1787592925481.4893,11.3350,-16.0000,3.0200,0.4613,1787592925483.4944,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2180,0.1810,0.9070,,1787592925506.7900,11.3350,-15.9200,3.0800,0.4476,1787592925507.6353,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2190,0.1820,0.9150,,1787592925526.9172,11.3700,-15.9200,3.1400,0.4393,1787592925526.9172,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2190,0.1800,0.9180,,1787592925718.3328,11.3000,-15.9200,3.1400,0.4361,1787592925718.3328,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2200,0.1780,0.9220,,1787592925741.6484,11.2300,-15.9200,3.2000,0.4319,1787592925743.7471,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2200,0.1780,0.9240,,1787592925779.3584,11.2300,-15.9200,3.2000,0.4298,1787592925779.3584,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6990,0.2200,0.1790,0.9320,,1787592925827.7231,11.2650,-15.9200,3.2000,0.4214,1787592925842.6211,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6980,0.2210,0.1800,0.9460,,1787592925882.0530,11.3000,-15.8400,3.2600,0.4067,1787592925882.0530,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6970,0.2210,0.1830,0.9580,,1787592925920.1047,11.4050,-15.7600,3.2600,0.3941,1787592925920.1047,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6960,0.2210,0.1890,0.9740,,1787592925944.6436,11.6150,-15.6800,3.2600,0.3773,1787592925946.6558,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6940,0.2200,0.1990,0.9930,,1787592925980.1252,11.9650,-15.5200,3.2000,0.3574,1787592925980.1252,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6870,0.2190,0.2300,1.0000,,1787592926022.2603,13.0500,-14.9600,3.1400,0.3500,1787592926022.2603,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6840,0.2190,0.2480,1.0000,,1787592926044.7666,13.6800,-14.7200,3.1400,0.3500,1787592926045.7820,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6790,0.2230,0.2690,1.0000,,1787592926201.6157,14.4150,-14.3200,3.3800,0.3500,1787592926203.7405,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6510,0.2670,0.3890,1.0000,,1787592926245.6353,18.6150,-12.0800,6.0200,0.3500,1787592926246.6375,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6470,0.2730,0.4030,1.0000,,1787592926286.0083,19.1050,-11.7600,6.3800,0.3500,1787592926286.0083,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6400,0.2840,0.4340,1.0000,,1787592926323.6775,20.1900,-11.2000,7.0400,0.3500,1787592926323.6775,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6370,0.2880,0.4480,1.0000,,1787592926346.9304,20.6800,-10.9600,7.2800,0.3500,1787592926347.9463,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6340,0.2910,0.4610,1.0000,,1787592926392.8821,21.1350,-10.7200,7.4600,0.3500,1787592926394.3889,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6330,0.2920,0.4670,1.0000,,1787592926421.2310,21.3450,-10.6400,7.5200,0.3500,1787592926421.2310,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.6320,0.2930,0.4710,1.0000,,1787592926448.0950,21.4850,-10.5600,7.5800,0.3500,1787592926449.1758,False,,,1,OP1,C2_WIFI_CARGA_MEDIA,medio
