t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.505,0.326,0.367,1.0,,1787593025147.0566,17.845,-0.4,9.56,0.35,1787593025147.0566,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.503,0.329,0.37,1.0,,1787593025197.0696,17.95,-0.24,9.74,0.35,1787593025197.0696,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.503,0.329,0.37,1.0,,1787593025224.9136,17.95,-0.24,9.74,0.35,1787593025224.9136,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.504,0.328,0.371,1.0,,1787593025257.6433,17.985,-0.32,9.68,0.35,1787593025259.0256,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.504,0.327,0.371,1.0,,1787593025300.8804,17.985,-0.32,9.62,0.35,1787593025301.9766,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.504,0.327,0.371,1.0,,1787593025335.1077,17.985,-0.32,9.62,0.35,1787593025335.1077,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.504,0.327,0.369,1.0,,1787593025368.2017,17.915,-0.32,9.62,0.35,1787593025369.209,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.505,0.327,0.369,1.0,,1787593025395.417,17.915,-0.4,9.62,0.35,1787593025396.929,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.505,0.327,0.369,1.0,,1787593025424.768,17.915,-0.4,9.62,0.35,1787593025426.0356,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.505,0.326,0.368,1.0,,1787593025470.7222,17.88,-0.4,9.56,0.35,1787593025470.7222,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.506,0.325,0.367,1.0,,1787593025503.15,17.845,-0.48,9.5,0.35,1787593025503.15,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.507,0.325,0.367,1.0,,1787593025526.6135,17.845,-0.56,9.5,0.35,1787593025527.611,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.507,0.325,0.368,1.0,,1787593025562.6,17.88,-0.56,9.5,0.35,1787593025564.6118,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.508,0.325,0.368,1.0,,1787593025604.836,17.88,-0.64,9.5,0.35,1787593025604.836,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.326,0.368,1.0,,1787593025627.6772,17.88,-0.72,9.56,0.35,1787593025628.105,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.326,0.367,1.0,,1787593025673.4795,17.845,-0.8,9.56,0.35,1787593025673.4795,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.326,0.366,1.0,,1787593025696.9,17.81,-0.8,9.56,0.35,1787593025696.9,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.327,0.365,1.0,,1787593025727.0762,17.775,-0.8,9.62,0.35,1787593025729.194,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.327,0.363,1.0,,1787593025771.788,17.705,-0.8,9.62,0.35,1787593025771.788,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.327,0.362,1.0,,1787593025809.134,17.67,-0.8,9.62,0.35,1787593025809.134,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.326,0.361,1.0,,1787593025864.9873,17.635,-0.72,9.56,0.35,1787593025864.9873,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.325,0.359,1.0,,1787593025923.4973,17.565,-0.72,9.5,0.35,1787593025927.8198,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.325,0.359,1.0,,1787593025967.3157,17.565,-0.8,9.5,0.35,1787593025967.3157,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.325,0.357,1.0,,1787593026008.088,17.495,-0.72,9.5,0.35,1787593026010.1072,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.325,0.358,1.0,,1787593026031.191,17.53,-0.72,9.5,0.35,1787593026032.2087,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.325,0.358,1.0,,1787593026065.012,17.53,-0.72,9.5,0.35,1787593026066.0398,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.327,0.361,1.0,,1787593026108.2554,17.635,-0.72,9.62,0.35,1787593026108.2554,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.327,0.362,1.0,,1787593026130.59,17.67,-0.72,9.62,0.35,1787593026131.61,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.509,0.328,0.362,1.0,,1787593026170.7434,17.67,-0.72,9.68,0.35,1787593026170.7434,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.328,0.364,1.0,,1787593026213.7869,17.74,-0.8,9.68,0.35,1787593026213.7869,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.51,0.328,0.363,1.0,,1787593026258.5889,17.705,-0.8,9.68,0.35,1787593026258.5889,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
,0.511,0.328,0.362,1.0,,1787593026309.9387,17.67,-0.88,9.68,0.35,1787593026309.9387,False,,,2,OP1,C2_WIFI_CARGA_MEDIA,N3
