t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.256,0.259,0.808,0.145,,1787594050621.0176,33.28,19.52,5.54,1.2477,1787594050621.0176,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.264,0.258,0.813,0.093,,1787594050665.074,33.455,18.88,5.48,1.3023,1787594050665.074,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.27,0.258,0.814,0.059,,1787594050697.375,33.49,18.4,5.48,1.338,1787594050697.375,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.273,0.259,0.814,0.023,,1787594050718.7612,33.49,18.16,5.54,1.3759,1787594050719.776,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.276,0.258,0.815,0.0,,1787594050747.2625,33.525,17.92,5.48,1.4,1787594050752.38,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.279,0.256,0.817,0.0,,1787594050767.2737,33.595,17.68,5.36,1.4,1787594050767.2737,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.28,0.253,0.816,0.0,,1787594050798.8584,33.56,17.6,5.18,1.4,1787594050798.8584,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.28,0.25,0.812,0.0,,1787594050832.337,33.42,17.6,5.0,1.4,1787594050832.337,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.278,0.247,0.807,0.0,,1787594050862.079,33.245,17.76,4.82,1.4,1787594050862.079,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.277,0.239,0.802,0.0,,1787594050915.2627,33.07,17.84,4.34,1.4,1787594050915.2627,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.277,0.237,0.803,0.0,,1787594050964.7212,33.105,17.84,4.22,1.4,1787594050964.7212,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.278,0.237,0.806,0.0,,1787594050996.829,33.21,17.76,4.22,1.4,1787594050996.829,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.28,0.237,0.809,0.0,,1787594051140.569,33.315,17.6,4.22,1.4,1787594051140.569,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.281,0.237,0.809,0.0,,1787594051169.1292,33.315,17.52,4.22,1.4,1787594051169.1292,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.281,0.237,0.808,0.0,,1787594051189.3694,33.28,17.52,4.22,1.4,1787594051192.235,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.282,0.236,0.808,0.0,,1787594051226.3245,33.28,17.44,4.16,1.4,1787594051226.646,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.283,0.236,0.807,0.0,,1787594051247.391,33.245,17.36,4.16,1.4,1787594051254.9387,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.284,0.236,0.805,0.0,,1787594051304.8557,33.175,17.28,4.16,1.4,1787594051304.8557,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.284,0.236,0.805,0.0,,1787594051326.3303,33.175,17.28,4.16,1.4,1787594051327.908,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.284,0.236,0.805,0.0,,1787594051362.1558,33.175,17.28,4.16,1.4,1787594051363.242,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.237,0.805,0.0,,1787594051419.6775,33.175,17.2,4.22,1.4,1787594051419.6775,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.237,0.804,0.0,,1787594051447.2805,33.14,17.2,4.22,1.4,1787594051447.2805,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.284,0.238,0.804,0.0,,1787594051472.3188,33.14,17.28,4.28,1.4,1787594051472.3188,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.284,0.238,0.805,0.0,,1787594051503.5483,33.175,17.28,4.28,1.4,1787594051504.2627,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.284,0.238,0.805,0.0,,1787594051527.2627,33.175,17.28,4.28,1.4,1787594051528.093,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.238,0.804,0.0,,1787594051560.5098,33.14,17.2,4.28,1.4,1787594051560.5098,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.239,0.804,0.0,,1787594051605.6782,33.14,17.2,4.34,1.4,1787594051605.6782,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.286,0.24,0.802,0.0,,1787594051628.085,33.07,17.12,4.4,1.4,1787594051628.085,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.287,0.241,0.801,0.0,,1787594051670.7332,33.035,17.04,4.46,1.4,1787594051670.7332,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.287,0.242,0.8,0.0,,1787594051696.8484,33.0,17.04,4.52,1.4,1787594051699.0952,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.287,0.243,0.799,0.0,,1787594051722.7537,32.965,17.04,4.58,1.4,1787594051727.9788,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.287,0.244,0.796,0.0,,1787594051766.9146,32.86,17.04,4.64,1.4,1787594051766.9146,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.287,0.245,0.795,0.0,,1787594051808.0496,32.825,17.04,4.7,1.4,1787594051808.0496,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.286,0.245,0.793,0.0,,1787594051829.9092,32.755,17.12,4.7,1.4,1787594051830.3708,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.246,0.794,0.0,,1787594051866.3738,32.79,17.2,4.76,1.4,1787594051868.3904,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.246,0.794,0.0,,1787594051906.089,32.79,17.2,4.76,1.4,1787594051907.1494,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.246,0.794,0.0,,1787594052069.398,32.79,17.2,4.76,1.4,1787594052069.398,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.248,0.796,0.0,,1787594052107.988,32.86,17.2,4.88,1.4,1787594052107.988,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.248,0.796,0.0,,1787594052138.2114,32.86,17.2,4.88,1.4,1787594052140.2207,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.247,0.796,0.0,,1787594052170.4226,32.86,17.2,4.82,1.4,1787594052170.4226,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.247,0.796,0.0,,1787594052198.4587,32.86,17.2,4.82,1.4,1787594052200.5703,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.286,0.246,0.795,0.0,,1787594052234.8755,32.825,17.12,4.76,1.4,1787594052234.8755,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.286,0.246,0.795,0.0,,1787594052263.9534,32.825,17.12,4.76,1.4,1787594052266.075,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.285,0.246,0.795,0.0,,1787594052310.478,32.825,17.2,4.76,1.4,1787594052310.478,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.286,0.246,0.795,0.0,,1787594052337.3965,32.825,17.12,4.76,1.4,1787594052339.4102,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.287,0.247,0.796,0.0,,1787594052367.2566,32.86,17.04,4.82,1.4,1787594052367.2566,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.295,0.25,0.795,0.0,,1787594052396.6943,32.825,16.4,5.0,1.4,1787594052400.0603,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.3,0.253,0.794,0.0,,1787594052442.8572,32.79,16.0,5.18,1.4,1787594052443.4626,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
,0.305,0.258,0.793,0.0,,1787594052463.5442,32.755,15.6,5.48,1.4,1787594052464.0608,False,,,4,OP1,C2_WIFI_CARGA_MEDIA,medio
