t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.566,0.306,0.311,0.927,,1787653425332.4531,15.885,-5.28,8.36,0.4266,1787653425354.9478,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.566,0.307,0.312,0.924,,1787653425363.2102,15.92,-5.28,8.42,0.4298,1787653425365.276,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.566,0.306,0.312,0.92,,1787653425391.407,15.92,-5.28,8.36,0.434,1787653425394.3955,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.565,0.307,0.312,0.916,,1787653425418.1758,15.92,-5.2,8.42,0.4382,1787653425418.1758,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.565,0.307,0.311,0.913,,1787653425439.788,15.885,-5.2,8.42,0.4414,1787653425450.1814,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.564,0.308,0.311,0.909,,1787653425469.191,15.885,-5.12,8.48,0.4456,1787653425469.191,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.564,0.308,0.31,0.908,,1787653425502.1636,15.85,-5.12,8.48,0.4466,1787653425504.7483,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.564,0.308,0.31,0.906,,1787653425526.9746,15.85,-5.12,8.48,0.4487,1787653425526.9746,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.564,0.308,0.31,0.905,,1787653425552.8274,15.85,-5.12,8.48,0.4498,1787653425561.7625,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.564,0.308,0.31,0.904,,1787653425580.7468,15.85,-5.12,8.48,0.4508,1787653425580.7468,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.564,0.308,0.31,0.904,,1787653425613.973,15.85,-5.12,8.48,0.4508,1787653425616.3494,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.564,0.307,0.31,0.904,,1787653425661.806,15.85,-5.12,8.42,0.4508,1787653425661.806,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
,0.563,0.307,0.309,0.903,,1787653425694.2063,15.815,-5.04,8.42,0.4519,1787653425694.2063,False,,,1,OP1,C3_WIFI_CARGA_ALTA,N3
