t_unity_captura,norm_x,norm_y,norm_z,g,t_unity_envio,t_robot_recepcion,x_cm,y_cm,z_cm,t_rad,t_uart_escritura,clamp_activo,rtt_ms,perdida_pct,id_intento,id_operador,condicion_red,nivel_objeto
,0.272,0.264,0.719,1.0,,1787654086118.5078,30.165,18.24,5.84,0.35,1787654086119.682,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.273,0.26,0.722,1.0,,1787654086251.8176,30.27,18.16,5.6,0.35,1787654086253.8977,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.281,0.253,0.727,1.0,,1787654086388.508,30.445,17.52,5.18,0.35,1787654086388.508,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.285,0.24,0.729,1.0,,1787654086419.7097,30.515,17.2,4.4,0.35,1787654086420.1218,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.285,0.24,0.731,1.0,,1787654086453.2136,30.585,17.2,4.4,0.35,1787654086453.2136,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.285,0.238,0.733,1.0,,1787654086513.8604,30.655,17.2,4.28,0.35,1787654086513.8604,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.285,0.238,0.733,1.0,,1787654086539.63,30.655,17.2,4.28,0.35,1787654086541.7017,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.286,0.238,0.734,1.0,,1787654086585.8423,30.69,17.12,4.28,0.35,1787654086585.8423,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.287,0.237,0.734,1.0,,1787654086620.4026,30.69,17.04,4.22,0.35,1787654086620.4026,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.287,0.237,0.734,1.0,,1787654086645.6057,30.69,17.04,4.22,0.35,1787654086646.5745,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.288,0.237,0.735,1.0,,1787654086679.963,30.725,16.96,4.22,0.35,1787654086682.1543,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.288,0.236,0.736,1.0,,1787654086707.3535,30.76,16.96,4.16,0.35,1787654086707.3535,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
,0.29,0.233,0.738,1.0,,1787654086759.6316,30.83,16.8,3.98,0.35,1787654086759.6316,False,,,3,OP1,C3_WIFI_CARGA_ALTA,medio
