condicion_red,cond_excel,objeto,id_intento,archivo,duracion_s,muestras,correcciones,correcciones_z,correcciones_total,tasa_correccion_por_min
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N1,1,funcional_C1_WIFI_SIN_CARGA_OP1_N1_intento1.csv,29.91,995,55,53,108,110.32
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N1,2,funcional_C1_WIFI_SIN_CARGA_OP1_N1_intento2.csv,21.8,727,40,46,86,110.1
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N1,3,funcional_C1_WIFI_SIN_CARGA_OP1_N1_intento3.csv,22.16,745,37,42,79,100.18
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N1,4,funcional_C1_WIFI_SIN_CARGA_OP1_N1_intento4.csv,20.16,664,41,36,77,122.02
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N1,5,funcional_C1_WIFI_SIN_CARGA_OP1_N1_intento5.csv,24.39,794,36,47,83,88.55
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N3,1,funcional_C1_WIFI_SIN_CARGA_OP1_N3_intento1.csv,34.97,1085,63,59,122,108.1
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N3,2,funcional_C1_WIFI_SIN_CARGA_OP1_N3_intento2.csv,69.97,2248,141,212,353,120.91
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N3,3,funcional_C1_WIFI_SIN_CARGA_OP1_N3_intento3.csv,94.97,3132,200,252,452,126.36
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N3,4,funcional_C1_WIFI_SIN_CARGA_OP1_N3_intento4.csv,81.18,2655,228,225,453,168.51
C1_WIFI_SIN_CARGA,C1_ETHERNET_SIN_CARGA,N3,5,funcional_C1_WIFI_SIN_CARGA_OP1_N3_intento5.csv,109.95,3596,256,296,552,139.7
C2_WIFI_CARGA_MEDIA,C2_ETHERNET_CLUMSY_CARGA_MEDIA,N1,1,funcional_C2_WIFI_CARGA_MEDIA_OP1_N1_intento1.csv,23.01,595,36,39,75,93.86
C2_WIFI_CARGA_MEDIA,C2_ETHERNET_CLUMSY_CARGA_MEDIA,N1,2,funcional_C2_WIFI_CARGA_MEDIA_OP1_N1_intento2.csv,45.74,1137,71,99,170,93.13
C2_WIFI_CARGA_MEDIA,C2_ETHERNET_CLUMSY_CARGA_MEDIA,N1,3,funcional_C2_WIFI_CARGA_MEDIA_OP1_N1_intento3.csv,72.14,1754,167,155,322,138.9
C2_WIFI_CARGA_MEDIA,C2_ETHERNET_CLUMSY_CARGA_MEDIA,N1,4,funcional_C2_WIFI_CARGA_MEDIA_OP1_N1_intento4.csv,21.91,538,39,48,87,106.81
C2_WIFI_CARGA_MEDIA,C2_ETHERNET_CLUMSY_CARGA_MEDIA,N1,5,funcional_C2_WIFI_CARGA_MEDIA_OP1_N1_intento5.csv,26.48,658,50,39,89,113.3
C2_WIFI_CARGA_MEDIA,C2_ETHERNET_CLUMSY_CARGA_MEDIA,N3,1,funcional_C2_WIFI_CARGA_MEDIA_OP1_N3_intento1.csv,99.9,2357,184,222,406,110.51
