condicion,id_operador,intento,e_x_mm,e_y_mm,e_r_mm
C4_ETHERNET,OP1,1,,,
C4_ETHERNET,OP1,2,,,
C4_ETHERNET,OP1,3,,,
C4_ETHERNET,OP1,4,,,
C4_ETHERNET,OP1,5,,,
C1_ETHERNET_SIN_CARGA,OP1,1,,,
C1_ETHERNET_SIN_CARGA,OP1,2,,,
C1_ETHERNET_SIN_CARGA,OP1,3,,,
C1_ETHERNET_SIN_CARGA,OP1,4,,,
C1_ETHERNET_SIN_CARGA,OP1,5,,,
C2_ETHERNET_CLUMSY_CARGA_MEDIA,OP1,1,,,
C2_ETHERNET_CLUMSY_CARGA_MEDIA,OP1,2,,,
C2_ETHERNET_CLUMSY_CARGA_MEDIA,OP1,3,,,
C2_ETHERNET_CLUMSY_CARGA_MEDIA,OP1,4,,,
C2_ETHERNET_CLUMSY_CARGA_MEDIA,OP1,5,,,
C3_ETHERNET_CLUMSY_CARGA_ALTA,OP1,1,,,
C3_ETHERNET_CLUMSY_CARGA_ALTA,OP1,2,,,
C3_ETHERNET_CLUMSY_CARGA_ALTA,OP1,3,,,
C3_ETHERNET_CLUMSY_CARGA_ALTA,OP1,4,,,
C3_ETHERNET_CLUMSY_CARGA_ALTA,OP1,5,,,
