x_cm,y_cm,z_cm,alcanzado,interferencia,notas
10.0,-20.0,10.0,1,0,
10.0,-15.0,10.0,1,0,
10.0,-10.0,10.0,1,0,
10.0,-5.0,10.0,1,0,
10.0,0.0,10.0,1,0,
10.0,5.0,10.0,1,0,
10.0,10.0,10.0,1,0,
10.0,15.0,10.0,1,0,
10.0,20.0,10.0,1,0,
15.0,-20.0,10.0,1,0,
15.0,-15.0,10.0,1,0,
15.0,-10.0,10.0,1,0,
15.0,-5.0,10.0,1,0,
15.0,0.0,10.0,1,0,
15.0,5.0,10.0,1,0,
15.0,10.0,10.0,1,0,
15.0,15.0,10.0,1,0,
15.0,20.0,10.0,1,0,
20.0,-20.0,10.0,1,0,
20.0,-15.0,10.0,1,0,
20.0,-10.0,10.0,1,0,
20.0,-5.0,10.0,1,0,
20.0,0.0,10.0,1,0,
20.0,5.0,10.0,1,0,
20.0,10.0,10.0,1,0,
20.0,15.0,10.0,1,0,
20.0,20.0,10.0,1,0,
25.0,-20.0,10.0,1,0,
25.0,-15.0,10.0,1,0,
25.0,-10.0,10.0,1,0,
25.0,-5.0,10.0,1,0,
25.0,0.0,10.0,1,0,
25.0,5.0,10.0,1,0,
25.0,10.0,10.0,1,0,
25.0,15.0,10.0,1,0,
25.0,20.0,10.0,1,0,
30.0,-20.0,10.0,1,0,
30.0,-15.0,10.0,1,0,
30.0,-10.0,10.0,1,0,
30.0,-5.0,10.0,1,0,
30.0,0.0,10.0,1,0,
30.0,5.0,10.0,1,0,
30.0,10.0,10.0,1,0,
30.0,15.0,10.0,1,0,
30.0,20.0,10.0,1,0,
35.0,-20.0,10.0,1,0,
35.0,-15.0,10.0,1,0,
35.0,-10.0,10.0,1,0,
35.0,-5.0,10.0,1,0,
35.0,0.0,10.0,1,0,
35.0,5.0,10.0,1,0,
35.0,10.0,10.0,1,0,
35.0,15.0,10.0,1,0,
35.0,20.0,10.0,1,0,
