TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
9.99,271.0,1784240869056,1784240866245
10.03,276.0,1784240869090,1784240866284
10.06,271.0,1784240869123,1784240866312
10.10,278.0,1784240869158,1784240866354
10.13,273.0,1784240869190,1784240866381
10.16,268.0,1784240869224,1784240866410
10.20,275.0,1784240869258,1784240866451
10.23,269.0,1784240869292,1784240866479
10.29,295.0,1784240869325,1784240866538
10.29,261.0,1784240869359,1784240866538
10.33,265.0,1784240869393,1784240866576
10.35,260.0,1784240869425,1784240866603
10.39,268.0,1784240869459,1784240866645
10.44,275.0,1784240869493,1784240866686
10.46,269.0,1784240869527,1784240866714
10.51,277.0,1784240869561,1784240866756
10.53,272.0,1784240869594,1784240866784
10.57,278.0,1784240869629,1784240866825
10.60,274.0,1784240869661,1784240866853
10.64,281.0,1784240869696,1784240866895
10.67,274.0,1784240869730,1784240866922
10.71,285.0,1784240869762,1784240866965
10.74,279.0,1784240869796,1784240866993
10.76,260.0,1784240869829,1784240867007
10.81,280.0,1784240869864,1784240867062
10.84,277.0,1784240869897,1784240867092
10.88,283.0,1784240869931,1784240867132
10.90,264.0,1784240869964,1784240867146
10.95,287.0,1784240869997,1784240867202
10.98,279.0,1784240870032,1784240867229
10.99,261.0,1784240870065,1784240867244
11.05,283.0,1784240870099,1784240867300
11.08,276.0,1784240870133,1784240867327
11.12,286.0,1784240870165,1784240867369
11.13,265.0,1784240870199,1784240867382
11.19,288.0,1784240870233,1784240867439
11.20,269.0,1784240870266,1784240867453
11.24,276.0,1784240870300,1784240867494
11.43,425.0,1784240870333,1784240867676
11.43,391.0,1784240870367,1784240867676
11.43,358.0,1784240870401,1784240867677
11.43,325.0,1784240870434,1784240867677
11.43,291.0,1784240870468,1784240867677
11.43,258.0,1784240870501,1784240867677
11.48,279.0,1784240870535,1784240867732
11.69,429.4,1784240870568,1784240867940
11.69,394.4,1784240870603,1784240867940
11.69,361.4,1784240870636,1784240867940
11.69,328.4,1784240870669,1784240867940
11.69,294.4,1784240870703,1784240867940
11.69,260.4,1784240870737,1784240867940
11.88,422.4,1784240870770,1784240868135
11.88,388.4,1784240870804,1784240868135
11.88,355.4,1784240870837,1784240868135
11.88,322.4,1784240870870,1784240868135
11.88,288.4,1784240870904,1784240868135
11.88,253.4,1784240870939,1784240868135
11.90,235.4,1784240870972,1784240868150
11.95,256.4,1784240871006,1784240868205
11.98,250.4,1784240871040,1784240868233
12.01,244.4,1784240871073,1784240868260
12.04,239.4,1784240871106,1784240868288
12.09,262.4,1784240871140,1784240868345
12.12,255.4,1784240871174,1784240868372
12.16,264.4,1784240871207,1784240868414
12.19,257.4,1784240871241,1784240868441
12.22,252.4,1784240871275,1784240868470
12.26,260.4,1784240871308,1784240868511
12.29,254.4,1784240871342,1784240868539
12.32,249.4,1784240871376,1784240868568
12.36,258.4,1784240871408,1784240868609
12.39,253.4,1784240871441,1784240868637
12.43,261.4,1784240871475,1784240868679
12.46,254.4,1784240871510,1784240868707
12.76,527.4,1784240871543,1784240869013
12.76,494.4,1784240871576,1784240869013
12.76,460.4,1784240871610,1784240869013
12.76,426.4,1784240871644,1784240869013
12.76,392.4,1784240871678,1784240869013
12.76,359.4,1784240871711,1784240869013
12.76,326.4,1784240871744,1784240869013
12.76,292.4,1784240871778,1784240869013
12.76,258.4,1784240871812,1784240869013
12.78,238.4,1784240871845,1784240869026
12.83,262.4,1784240871878,1784240869083
12.86,255.4,1784240871913,1784240869111
12.90,263.4,1784240871946,1784240869152
12.92,243.4,1784240871980,1784240869166
12.96,251.4,1784240872014,1784240869208
13.00,260.4,1784240872047,1784240869250
13.01,240.4,1784240872081,1784240869264
13.07,262.4,1784240872114,1784240869319
13.10,256.4,1784240872148,1784240869347
13.11,238.4,1784240872181,1784240869362
13.15,246.4,1784240872214,1784240869403
13.19,253.4,1784240872249,1784240869445
13.24,261.4,1784240872282,1784240869486
13.25,242.4,1784240872315,1784240869500
13.31,264.4,1784240872349,1784240869556
13.33,258.4,1784240872383,1784240869584
13.36,253.4,1784240872416,1784240869612
13.39,246.4,1784240872450,1784240869639
13.43,255.4,1784240872484,1784240869682
13.48,275.4,1784240872516,1784240869734
13.48,241.4,1784240872550,1784240869734
13.54,242.1,1784240872584,1784240869790
13.57,237.1,1784240872618,1784240869819
13.60,236.1,1784240872652,1784240869852
13.63,229.1,1784240872686,1784240869879
13.68,252.1,1784240872719,1784240869935
13.86,399.1,1784240872752,1784240870115
13.86,365.1,1784240872786,1784240870115
13.86,331.1,1784240872820,1784240870115
13.86,297.1,1784240872854,1784240870115
13.86,264.1,1784240872887,1784240870115
13.86,230.1,1784240872921,1784240870115
14.07,404.1,1784240872954,1784240870322
14.07,370.1,1784240872988,1784240870322
14.07,337.1,1784240873021,1784240870322
14.07,302.1,1784240873056,1784240870322
14.07,269.1,1784240873089,1784240870322
14.07,235.1,1784240873123,1784240870322
14.10,231.1,1784240873156,1784240870351
14.14,241.1,1784240873190,1784240870395
14.32,386.1,1784240873223,1784240870573
14.32,353.1,1784240873256,1784240870573
14.32,319.1,1784240873290,1784240870573
14.32,285.1,1784240873324,1784240870573
14.32,251.1,1784240873358,1784240870573
14.32,217.1,1784240873392,1784240870573
14.38,240.1,1784240873424,1784240870628
14.40,234.1,1784240873458,1784240870656
