TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
10.20,35.0,1784239607393,1784239604625
10.23,31.0,1784239607426,1784239604654
10.25,25.0,1784239607459,1784239604681
10.30,33.0,1784239607493,1784239604723
10.32,26.0,1784239607527,1784239604750
10.53,201.0,1784239607560,1784239604958
10.53,166.0,1784239607595,1784239604958
10.53,133.0,1784239607628,1784239604958
10.53,99.0,1784239607662,1784239604958
10.53,65.0,1784239607696,1784239604958
10.53,25.0,1784239607736,1784239604958
10.56,27.0,1784239607763,1784239604987
10.59,22.0,1784239607797,1784239605016
10.63,31.0,1784239607829,1784239605057
10.66,23.0,1784239607864,1784239605084
10.70,32.0,1784239607897,1784239605126
10.71,13.0,1784239607931,1784239605141
10.77,35.0,1784239607964,1784239605196
10.80,29.0,1784239607997,1784239605223
10.81,9.0,1784239608032,1784239605238
10.85,16.0,1784239608066,1784239605279
10.89,25.0,1784239608099,1784239605321
10.94,33.0,1784239608132,1784239605362
10.95,15.0,1784239608165,1784239605377
10.99,25.0,1784239608198,1784239605420
11.19,183.0,1784239608233,1784239605613
11.19,150.0,1784239608266,1784239605613
11.19,116.0,1784239608300,1784239605613
11.19,82.0,1784239608334,1784239605613
11.19,48.0,1784239608368,1784239605613
11.19,15.0,1784239608401,1784239605613
11.23,24.0,1784239608435,1784239605656
11.27,33.0,1784239608467,1784239605697
11.30,26.0,1784239608502,1784239605725
11.33,22.0,1784239608535,1784239605754
11.38,43.0,1784239608569,1784239605809
11.41,36.0,1784239608603,1784239605836
11.42,16.0,1784239608637,1784239605850
11.47,27.0,1784239608669,1784239605893
11.51,32.0,1784239608704,1784239605933
11.55,40.0,1784239608738,1784239605975
11.56,21.0,1784239608771,1784239605989
11.74,170.0,1784239608805,1784239606172
11.74,137.0,1784239608838,1784239606172
11.74,103.0,1784239608872,1784239606172
11.74,70.0,1784239608905,1784239606172
11.74,36.0,1784239608939,1784239606172
11.79,42.0,1784239608973,1784239606212
11.80,22.0,1784239609007,1784239606226
11.84,32.0,1784239609040,1784239606269
11.88,39.0,1784239609073,1784239606309
11.90,20.0,1784239609107,1784239606324
11.94,28.0,1784239609140,1784239606365
11.98,36.0,1784239609174,1784239606407
12.01,31.0,1784239609207,1784239606435
12.04,24.0,1784239609241,1784239606462
12.19,143.0,1784239609275,1784239606615
12.19,109.0,1784239609309,1784239606615
12.19,76.0,1784239609342,1784239606615
12.19,40.0,1784239609376,1784239606615
12.22,36.0,1784239609409,1784239606644
12.25,29.0,1784239609444,1784239606672
12.27,24.0,1784239609477,1784239606700
12.31,31.0,1784239609511,1784239606741
12.36,40.0,1784239609545,1784239606784
12.38,34.0,1784239609578,1784239606811
12.41,30.0,1784239609611,1784239606840
12.45,36.0,1784239609645,1784239606880
12.48,32.0,1784239609678,1784239606909
12.51,28.0,1784239609711,1784239606938
12.55,33.0,1784239609746,1784239606978
12.58,29.0,1784239609779,1784239607007
12.59,9.0,1784239609813,1784239607021
12.65,31.0,1784239609846,1784239607076
12.69,38.0,1784239609880,1784239607117
12.72,32.0,1784239609914,1784239607145
12.73,13.0,1784239609947,1784239607159
12.79,36.0,1784239609980,1784239607215
12.97,183.0,1784239610015,1784239607397
12.97,151.0,1784239610047,1784239607397
12.97,116.0,1784239610082,1784239607397
12.97,84.0,1784239610114,1784239607397
12.97,48.0,1784239610150,1784239607397
12.97,16.0,1784239610182,1784239607397
13.03,38.0,1784239610215,1784239607452
13.04,18.0,1784239610249,1784239607466
13.07,12.0,1784239610282,1784239607493
13.11,20.0,1784239610317,1784239607536
13.15,30.0,1784239610349,1784239607578
13.19,37.0,1784239610384,1784239607620
13.21,18.0,1784239610417,1784239607634
13.26,39.0,1784239610451,1784239607689
13.29,32.0,1784239610485,1784239607716
13.30,14.0,1784239610517,1784239607730
13.33,9.0,1784239610551,1784239607759
13.39,30.0,1784239610585,1784239607814
13.43,38.0,1784239610619,1784239607856
13.44,18.0,1784239610653,1784239607870
13.48,26.0,1784239610686,1784239607911
13.68,188.0,1784239610720,1784239608107
13.68,156.0,1784239610752,1784239608107
13.68,121.0,1784239610787,1784239608107
13.68,87.0,1784239610821,1784239608107
13.68,54.0,1784239610854,1784239608107
13.68,20.0,1784239610888,1784239608107
13.72,28.0,1784239610921,1784239608148
13.76,37.0,1784239610955,1784239608191
13.79,30.0,1784239610989,1784239608218
13.82,25.0,1784239611022,1784239608246
13.85,19.0,1784239611055,1784239608273
13.90,41.0,1784239611089,1784239608329
13.93,35.0,1784239611122,1784239608356
13.94,16.0,1784239611156,1784239608371
13.99,29.0,1784239611189,1784239608417
14.03,33.0,1784239611222,1784239608454
14.07,39.0,1784239611258,1784239608496
14.08,19.0,1784239611292,1784239608510
14.12,29.0,1784239611324,1784239608552
14.17,36.0,1784239611359,1784239608594
14.18,14.5,1784239611393,1784239608607
14.22,22.5,1784239611426,1784239608648
14.26,32.5,1784239611459,1784239608691
14.28,12.5,1784239611492,1784239608704
14.32,22.5,1784239611525,1784239608747
14.36,29.5,1784239611559,1784239608788
14.40,37.5,1784239611593,1784239608830
14.42,17.5,1784239611627,1784239608844
14.46,26.5,1784239611660,1784239608886
14.50,34.5,1784239611693,1784239608927
14.53,29.5,1784239611727,1784239608956
14.56,23.5,1784239611760,1784239608983
14.60,32.5,1784239611793,1784239609025
14.64,39.5,1784239611828,1784239609067
14.64,5.5,1784239611862,1784239609067
14.70,28.5,1784239611895,1784239609123
14.74,34.5,1784239611930,1784239609164
14.76,28.5,1784239611963,1784239609191
14.78,10.5,1784239611996,1784239609206
14.83,32.5,1784239612030,1784239609262
14.86,27.5,1784239612063,1784239609290
14.90,35.5,1784239612097,1784239609332
14.93,29.5,1784239612130,1784239609359
14.97,37.5,1784239612164,1784239609401
15.00,32.5,1784239612197,1784239609429
15.02,11.5,1784239612231,1784239609442
15.04,8.5,1784239612264,1784239609472
15.10,27.5,1784239612299,1784239609526
15.14,39.5,1784239612330,1784239609569
15.16,16.5,1784239612365,1784239609581
15.21,40.5,1784239612398,1784239609638
15.24,33.5,1784239612432,1784239609665
15.25,13.5,1784239612466,1784239609679
15.29,22.5,1784239612500,1784239609722
15.34,30.5,1784239612533,1784239609763
15.38,39.5,1784239612567,1784239609806
15.39,18.5,1784239612601,1784239609819
15.43,27.5,1784239612634,1784239609861
15.48,35.5,1784239612668,1784239609903
15.49,15.5,1784239612702,1784239609917
15.53,24.5,1784239612734,1784239609958
15.57,32.5,1784239612768,1784239610000
15.61,40.5,1784239612802,1784239610042
15.63,19.5,1784239612837,1784239610056
15.67,28.5,1784239612869,1784239610097
15.71,36.5,1784239612904,1784239610140
15.73,16.5,1784239612937,1784239610153
15.77,23.5,1784239612971,1784239610194
15.81,33.5,1784239613004,1784239610237
15.84,26.5,1784239613038,1784239610264
15.87,21.5,1784239613071,1784239610292
15.89,16.5,1784239613105,1784239610321
15.94,23.5,1784239613138,1784239610361
15.98,32.5,1784239613171,1784239610403
15.99,12.5,1784239613205,1784239610417
16.03,21.5,1784239613238,1784239610459
16.07,29.5,1784239613272,1784239610501
16.12,37.5,1784239613306,1784239610543
16.13,18.5,1784239613339,1784239610557
16.17,25.5,1784239613374,1784239610599
16.21,33.9,1784239613407,1784239610640
16.38,168.9,1784239613440,1784239610808
16.38,134.9,1784239613474,1784239610808
16.38,100.9,1784239613508,1784239610808
16.38,66.9,1784239613542,1784239610808
16.38,32.9,1784239613576,1784239610808
16.41,27.9,1784239613608,1784239610835
16.45,36.9,1784239613641,1784239610877
16.48,31.9,1784239613675,1784239610906
16.51,23.9,1784239613709,1784239610932
16.55,32.9,1784239613743,1784239610975
16.58,26.9,1784239613776,1784239611002
16.60,20.9,1784239613810,1784239611030
16.65,28.9,1784239613844,1784239611072
16.69,37.9,1784239613877,1784239611114
16.69,3.9,1784239613911,1784239611114
16.74,24.9,1784239613945,1784239611169
16.78,33.9,1784239613978,1784239611211
16.81,27.9,1784239614012,1784239611239
16.84,22.9,1784239614045,1784239611267
16.88,29.9,1784239614079,1784239611308
16.92,39.9,1784239614112,1784239611351
16.95,31.9,1784239614147,1784239611378
16.98,27.9,1784239614179,1784239611406
17.02,34.9,1784239614214,1784239611448
17.26,237.9,1784239614247,1784239611684
17.26,204.9,1784239614280,1784239611684
17.26,170.9,1784239614314,1784239611684
17.26,136.9,1784239614348,1784239611684
17.26,102.9,1784239614382,1784239611684
17.26,69.9,1784239614415,1784239611684
17.26,35.9,1784239614449,1784239611684
17.29,31.9,1784239614482,1784239611713
17.30,11.9,1784239614515,1784239611726
17.36,34.9,1784239614548,1784239611782
17.37,11.9,1784239614584,1784239611795
17.40,5.9,1784239614618,1784239611823
17.45,30.9,1784239614650,1784239611880
17.49,38.9,1784239614684,1784239611922
17.52,31.9,1784239614717,1784239611948
17.54,13.9,1784239614750,1784239611963
17.59,34.9,1784239614785,1784239612019
17.62,27.9,1784239614819,1784239612046
17.65,23.9,1784239614851,1784239612074
17.69,31.9,1784239614886,1784239612117
17.73,39.9,1784239614918,1784239612157
17.75,19.9,1784239614953,1784239612172
17.77,13.9,1784239614987,1784239612200
17.83,35.9,1784239615021,1784239612256
17.86,28.9,1784239615056,1784239612284
17.87,11.9,1784239615087,1784239612298
17.91,25.9,1784239615115,1784239612340
17.97,39.9,1784239615156,1784239612395
17.98,22.9,1784239615186,1784239612408
18.01,26.9,1784239615210,1784239612436
18.07,35.9,1784239615257,1784239612492
18.08,17.9,1784239615289,1784239612506
18.11,13.9,1784239615321,1784239612534
18.13,9.9,1784239615353,1784239612562
18.32,149.1,1784239615387,1784239612743
18.32,120.1,1784239615416,1784239612743
18.32,77.1,1784239615459,1784239612743
18.32,50.1,1784239615486,1784239612743
18.32,24.1,1784239615512,1784239612743
18.36,18.1,1784239615560,1784239612785
18.40,27.1,1784239615592,1784239612826
18.41,11.1,1784239615623,1784239612841
18.44,6.1,1784239615655,1784239612868
18.47,2.1,1784239615686,1784239612895
18.51,10.1,1784239615721,1784239612938
18.55,13.1,1784239615759,1784239612979
18.58,14.1,1784239615787,1784239613008
18.64,42.1,1784239615814,1784239613063
18.65,22.1,1784239615847,1784239613076
18.83,155.1,1784239615895,1784239613257
18.83,124.1,1784239615926,1784239613257
18.83,92.1,1784239615958,1784239613257
18.83,60.1,1784239615990,1784239613257
18.83,25.1,1784239616025,1784239613257
18.87,37.1,1784239616055,1784239613299
19.01,144.1,1784239616088,1784239613439
19.01,114.1,1784239616119,1784239613440
19.01,82.1,1784239616151,1784239613440
19.01,34.1,1784239616199,1784239613440
19.01,2.1,1784239616231,1784239613440
19.05,10.1,1784239616263,1784239613480
19.08,7.1,1784239616295,1784239613509
19.12,17.1,1784239616326,1784239613550
19.15,13.1,1784239616358,1784239613578
19.18,10.1,1784239616390,1784239613607
19.21,5.1,1784239616422,1784239613634
19.25,14.1,1784239616454,1784239613675
19.29,8.1,1784239616502,1784239613717
19.35,32.1,1784239616534,1784239613773
19.35,0.1,1784239616566,1784239613773
19.39,10.1,1784239616598,1784239613815
19.42,5.1,1784239616630,1784239613842
19.44,1.1,1784239616662,1784239613870
19.48,10.1,1784239616695,1784239613912
19.54,35.1,1784239616726,1784239613968
19.54,3.1,1784239616759,1784239613969
19.58,11.1,1784239616792,1784239614010
19.64,21.1,1784239616837,1784239614065
19.68,44.1,1784239616856,1784239614107
19.70,11.1,1784239616904,1784239614122
19.74,20.1,1784239616937,1784239614164
19.78,30.1,1784239616968,1784239614205
19.79,10.1,1784239617001,1784239614218
19.99,170.1,1784239617036,1784239614413
19.99,140.1,1784239617066,1784239614413
19.99,108.1,1784239617098,1784239614413
19.99,69.1,1784239617137,1784239614413
19.99,45.1,1784239617161,1784239614413
20.01,41.1,1784239617194,1784239614442
20.03,13.1,1784239617236,1784239614456
20.07,16.1,1784239617274,1784239614497
20.11,27.1,1784239617305,1784239614539
20.13,8.1,1784239617337,1784239614552
20.17,19.1,1784239617369,1784239614595
20.18,1.4,1784239617401,1784239614609
20.22,6.4,1784239617437,1784239614650
20.25,7.4,1784239617464,1784239614678
20.31,26.4,1784239617505,1784239614738
20.35,29.4,1784239617537,1784239614773
20.36,3.4,1784239617577,1784239614787
20.40,13.4,1784239617609,1784239614829
20.43,11.4,1784239617642,1784239614860
20.46,4.4,1784239617673,1784239614884
20.49,8.4,1784239617705,1784239614920
20.54,18.4,1784239617737,1784239614962
20.56,12.4,1784239617768,1784239614987
20.59,4.4,1784239617801,1784239615012
20.64,20.4,1784239617836,1784239615063
20.68,20.4,1784239617880,1784239615107
20.71,20.4,1784239617912,1784239615139
20.73,4.4,1784239617946,1784239615157
20.75,0.4,1784239617975,1784239615182
20.80,9.4,1784239618008,1784239615224
20.85,21.4,1784239618046,1784239615274
20.87,13.4,1784239618079,1784239615299
20.90,13.4,1784239618104,1784239615324
20.95,23.4,1784239618146,1784239615376
21.10,151.4,1784239618168,1784239615526
21.10,119.4,1784239618201,1784239615527
21.10,72.4,1784239618248,1784239615527
21.10,40.4,1784239618280,1784239615527
21.10,8.4,1784239618312,1784239615527
21.13,7.4,1784239618346,1784239615560
21.16,3.4,1784239618376,1784239615586
21.20,12.4,1784239618409,1784239615628
21.23,1.4,1784239618446,1784239615654
21.26,7.4,1784239618473,1784239615687
21.30,15.4,1784239618505,1784239615727
21.35,24.4,1784239618547,1784239615778
21.39,28.4,1784239618584,1784239615819
21.40,5.4,1784239618616,1784239615828
21.45,21.4,1784239618649,1784239615877
21.47,2.4,1784239618686,1784239615895
21.64,149.4,1784239618713,1784239616069
21.64,115.4,1784239618747,1784239616069
21.64,86.4,1784239618776,1784239616069
21.64,55.4,1784239618808,1784239616070
21.77,138.4,1784239618851,1784239616196
21.77,103.4,1784239618886,1784239616196
21.77,69.4,1784239618920,1784239616196
21.77,37.4,1784239618952,1784239616196
21.77,3.4,1784239618986,1784239616196
21.80,6.4,1784239619016,1784239616229
21.83,0.4,1784239619048,1784239616255
21.88,13.4,1784239619086,1784239616306
21.90,12.4,1784239619112,1784239616331
21.96,20.4,1784239619155,1784239616382
21.98,14.4,1784239619186,1784239616407
22.02,34.4,1784239619208,1784239616449
22.04,2.4,1784239619256,1784239616465
22.07,3.4,1784239619288,1784239616498
22.12,23.4,1784239619320,1784239616550
22.14,7.4,1784239619352,1784239616566
22.16,-0.6,1784239619386,1784239616592
22.21,10.1,1784239619418,1784239616633
22.24,14.1,1784239619448,1784239616667
22.30,35.1,1784239619486,1784239616726
22.32,27.1,1784239619511,1784239616743
22.36,26.1,1784239619555,1784239616786
22.40,30.1,1784239619592,1784239616827
22.41,8.1,1784239619624,1784239616837
22.44,11.1,1784239619655,1784239616871
22.48,14.1,1784239619687,1784239616906
22.51,10.1,1784239619718,1784239616933
22.55,19.1,1784239619750,1784239616974
22.57,7.1,1784239619787,1784239616999
22.61,12.1,1784239619815,1784239617032
22.66,28.1,1784239619857,1784239617090
22.81,150.1,1784239619887,1784239617242
22.81,110.1,1784239619927,1784239617242
22.81,77.1,1784239619960,1784239617242
22.81,45.1,1784239619992,1784239617242
22.82,13.1,1784239620024,1784239617242
22.84,6.1,1784239620055,1784239617266
22.87,6.1,1784239620087,1784239617298
22.91,9.1,1784239620118,1784239617332
22.96,25.1,1784239620161,1784239617391
22.98,17.1,1784239620186,1784239617408
23.02,7.1,1784239620230,1784239617442
23.04,1.1,1784239620262,1784239617468
23.10,28.1,1784239620294,1784239617527
23.11,5.1,1784239620325,1784239617535
23.15,13.1,1784239620358,1784239617576
23.20,32.1,1784239620390,1784239617627
23.21,8.1,1784239620422,1784239617635
23.25,19.1,1784239620453,1784239617677
23.30,35.1,1784239620487,1784239617727
23.33,22.1,1784239620533,1784239617760
23.49,147.1,1784239620565,1784239617917
23.49,115.1,1784239620597,1784239617917
23.49,76.1,1784239620636,1784239617917
23.49,51.1,1784239620661,1784239617917
23.49,19.1,1784239620693,1784239617917
23.52,12.1,1784239620725,1784239617942
23.54,7.1,1784239620757,1784239617969
23.59,15.1,1784239620799,1784239618019
23.63,35.1,1784239620821,1784239618061
23.68,47.1,1784239620853,1784239618105
23.69,8.1,1784239620900,1784239618113
23.72,5.1,1784239620936,1784239618146
23.77,28.1,1784239620964,1784239618197
23.78,4.1,1784239620997,1784239618206
23.83,25.1,1784239621028,1784239618258
23.85,5.1,1784239621065,1784239618275
23.91,28.1,1784239621102,1784239618335
23.92,2.1,1784239621136,1784239618343
23.97,39.1,1784239621157,1784239618401
24.01,25.1,1784239621205,1784239618435
24.02,0.1,1784239621237,1784239618442
24.07,20.1,1784239621268,1784239618493
24.11,20.1,1784239621310,1784239618535
24.12,2.1,1784239621336,1784239618543
24.16,10.1,1784239621370,1784239618585
24.21,26.4,1784239621405,1784239618636
24.22,3.4,1784239621436,1784239618644
24.26,22.4,1784239621459,1784239618686
24.29,8.4,1784239621507,1784239618720
24.32,0.4,1784239621540,1784239618745
24.35,3.4,1784239621571,1784239618779
24.39,13.4,1784239621603,1784239618821
24.42,4.4,1784239621636,1784239618845
24.45,6.4,1784239621667,1784239618878
24.50,26.4,1784239621699,1784239618930
24.52,4.4,1784239621738,1784239618947
24.55,4.4,1784239621763,1784239618972
24.60,11.4,1784239621806,1784239619022
24.63,8.4,1784239621843,1784239619056
24.66,9.4,1784239621875,1784239619089
24.69,-0.6,1784239621910,1784239619114
24.72,3.4,1784239621939,1784239619147
24.75,5.4,1784239621971,1784239619181
24.79,5.4,1784239622006,1784239619216
24.82,9.4,1784239622036,1784239619250
24.86,12.4,1784239622067,1784239619284
24.92,31.4,1784239622109,1784239619345
24.93,20.4,1784239622136,1784239619361
24.98,21.4,1784239622179,1784239619405
24.99,5.4,1784239622211,1784239619421
25.03,7.4,1784239622243,1784239619455
25.06,8.4,1784239622275,1784239619488
25.10,13.4,1784239622306,1784239619524
25.12,5.4,1784239622338,1784239619548
25.16,15.4,1784239622370,1784239619590
25.20,17.4,1784239622402,1784239619624
25.23,15.4,1784239622437,1784239619657
25.26,21.4,1784239622466,1784239619692
25.31,23.4,1784239622514,1784239619742
25.33,8.4,1784239622546,1784239619759
25.37,9.4,1784239622578,1784239619792
25.41,18.4,1784239622610,1784239619833
25.46,36.4,1784239622642,1784239619883
25.47,12.4,1784239622674,1784239619891
25.50,14.4,1784239622706,1784239619925
25.56,30.4,1784239622749,1784239619984
25.59,44.4,1784239622770,1784239620019
25.60,21.4,1784239622802,1784239620028
25.63,6.4,1784239622850,1784239620061
25.69,26.4,1784239622882,1784239620113
25.69,1.4,1784239622915,1784239620121
25.74,12.4,1784239622946,1784239620163
25.79,21.4,1784239622986,1784239620212
25.79,6.4,1784239623011,1784239620222
25.83,10.4,1784239623043,1784239620258
25.92,64.4,1784239623076,1784239620345
25.98,93.4,1784239623107,1784239620405
25.98,50.4,1784239623150,1784239620405
26.03,65.4,1784239623187,1784239620457
26.03,33.4,1784239623219,1784239620457
26.07,42.4,1784239623251,1784239620498
26.07,7.4,1784239623286,1784239620498
26.11,20.4,1784239623314,1784239620539
26.14,14.4,1784239623346,1784239620565
26.18,23.4,1784239623378,1784239620606
26.21,20.9,1784239623410,1784239620635
26.26,32.9,1784239623453,1784239620690
