TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
9.72,21.0,1784239100587,1784239097808
9.76,49.0,1784239100601,1784239097850
9.78,29.0,1784239100636,1784239097865
9.82,34.0,1784239100674,1784239097908
9.86,50.0,1784239100701,1784239097951
9.88,30.0,1784239100736,1784239097966
9.92,49.0,1784239100760,1784239098009
9.95,23.0,1784239100814,1784239098037
10.00,54.0,1784239100839,1784239098093
10.02,36.0,1784239100871,1784239098107
10.06,45.0,1784239100904,1784239098149
10.10,50.0,1784239100941,1784239098191
10.10,16.0,1784239100975,1784239098191
10.14,22.0,1784239101010,1784239098232
10.20,52.0,1784239101036,1784239098288
10.20,23.0,1784239101065,1784239098288
10.24,22.0,1784239101109,1784239098331
10.30,43.0,1784239101143,1784239098386
10.31,25.0,1784239101175,1784239098400
10.34,21.0,1784239101207,1784239098428
10.38,30.0,1784239101240,1784239098470
10.41,19.0,1784239101278,1784239098497
10.44,22.0,1784239101304,1784239098526
10.49,34.0,1784239101347,1784239098581
10.53,55.0,1784239101368,1784239098623
10.55,25.0,1784239101412,1784239098637
10.59,43.0,1784239101436,1784239098679
10.62,20.0,1784239101486,1784239098706
10.67,52.0,1784239101511,1784239098763
10.67,18.0,1784239101545,1784239098763
10.73,44.0,1784239101574,1784239098818
10.77,54.0,1784239101606,1784239098860
10.77,19.0,1784239101641,1784239098860
10.83,40.0,1784239101675,1784239098915
10.87,42.0,1784239101714,1784239098956
10.91,50.0,1784239101748,1784239098998
10.91,17.0,1784239101781,1784239098998
10.96,42.0,1784239101812,1784239099054
11.01,47.0,1784239101849,1784239099096
11.02,34.0,1784239101876,1784239099110
11.05,22.0,1784239101916,1784239099138
11.11,45.0,1784239101950,1784239099195
11.11,14.0,1784239101981,1784239099195
11.15,32.0,1784239102003,1784239099235
11.20,41.0,1784239102051,1784239099292
11.24,50.0,1784239102083,1784239099333
11.26,32.0,1784239102115,1784239099347
11.29,24.0,1784239102151,1784239099375
11.31,24.0,1784239102179,1784239099403
11.35,33.0,1784239102211,1784239099444
11.40,44.0,1784239102243,1784239099487
11.44,56.0,1784239102275,1784239099531
11.44,25.0,1784239102306,1784239099531
11.48,17.0,1784239102353,1784239099570
11.52,25.0,1784239102387,1784239099612
11.58,51.0,1784239102417,1784239099668
11.59,31.0,1784239102450,1784239099681
11.62,21.0,1784239102489,1784239099710
11.65,24.0,1784239102513,1784239099737
11.69,32.0,1784239102546,1784239099778
11.72,19.0,1784239102588,1784239099807
11.76,40.4,1784239102609,1784239099849
11.81,52.4,1784239102652,1784239099904
11.81,15.4,1784239102689,1784239099904
11.86,24.4,1784239102723,1784239099947
11.88,20.4,1784239102754,1784239099974
11.93,25.4,1784239102790,1784239100015
11.95,26.4,1784239102818,1784239100044
12.00,35.4,1784239102850,1784239100085
12.02,26.4,1784239102887,1784239100113
12.05,18.4,1784239102923,1784239100141
12.09,28.4,1784239102956,1784239100184
12.15,52.4,1784239102987,1784239100239
12.16,28.4,1784239103024,1784239100252
12.20,36.4,1784239103058,1784239100294
12.22,17.4,1784239103092,1784239100309
12.26,31.4,1784239103119,1784239100350
12.29,26.4,1784239103152,1784239100378
12.33,32.4,1784239103188,1784239100420
12.36,21.4,1784239103226,1784239100447
12.40,33.4,1784239103257,1784239100490
12.44,37.4,1784239103294,1784239100531
12.46,20.4,1784239103326,1784239100546
12.50,28.4,1784239103359,1784239100587
12.54,35.4,1784239103394,1784239100629
12.57,36.4,1784239103421,1784239100657
12.59,31.4,1784239103454,1784239100685
12.64,36.4,1784239103490,1784239100726
12.67,36.4,1784239103520,1784239100756
12.72,51.4,1784239103559,1784239100810
12.73,29.4,1784239103596,1784239100825
12.76,23.4,1784239103628,1784239100851
12.82,47.4,1784239103661,1784239100908
12.83,30.4,1784239103692,1784239100922
12.86,25.4,1784239103724,1784239100949
12.89,26.4,1784239103756,1784239100982
12.93,20.4,1784239103798,1784239101018
12.97,39.4,1784239103820,1784239101059
13.00,34.4,1784239103852,1784239101086
13.04,40.4,1784239103889,1784239101129
13.07,25.4,1784239103932,1784239101157
13.11,37.4,1784239103966,1784239101203
13.13,24.4,1784239103996,1784239101220
13.16,26.4,1784239104027,1784239101253
13.20,25.4,1784239104066,1784239101291
13.26,47.4,1784239104099,1784239101346
13.29,44.4,1784239104133,1784239101377
13.30,31.4,1784239104156,1784239101387
13.34,31.4,1784239104199,1784239101430
13.37,20.4,1784239104235,1784239101455
13.41,31.4,1784239104267,1784239101498
13.43,25.4,1784239104299,1784239101524
13.47,26.4,1784239104331,1784239101557
13.50,23.4,1784239104368,1784239101591
13.53,30.4,1784239104394,1784239101624
13.57,21.4,1784239104436,1784239101657
13.59,25.4,1784239104458,1784239101683
13.64,33.4,1784239104500,1784239101733
13.67,21.4,1784239104537,1784239101758
13.73,46.9,1784239104568,1784239101817
13.73,11.9,1784239104604,1784239101818
13.77,21.9,1784239104636,1784239101860
13.80,26.9,1784239104664,1784239101893
13.83,23.9,1784239104696,1784239101922
13.87,17.9,1784239104738,1784239101958
13.90,22.9,1784239104766,1784239101991
13.96,44.9,1784239104802,1784239102049
13.98,24.9,1784239104839,1784239102066
14.00,14.9,1784239104874,1784239102091
14.03,19.9,1784239104903,1784239102125
14.07,18.9,1784239104936,1784239102157
14.10,23.9,1784239104967,1784239102193
14.14,19.9,1784239105005,1784239102227
14.17,21.9,1784239105036,1784239102260
14.20,24.9,1784239105067,1784239102294
14.24,16.9,1784239105108,1784239102327
14.30,48.9,1784239105142,1784239102393
14.31,25.9,1784239105173,1784239102401
14.35,33.9,1784239105206,1784239102442
14.39,36.9,1784239105238,1784239102477
14.40,20.9,1784239105270,1784239102493
14.45,32.9,1784239105302,1784239102537
14.47,23.9,1784239105336,1784239102562
14.51,26.9,1784239105366,1784239102595
14.55,25.9,1784239105409,1784239102637
14.57,14.9,1784239105446,1784239102663
14.61,23.9,1784239105478,1784239102704
14.65,25.9,1784239105510,1784239102738
14.67,19.9,1784239105542,1784239102764
14.71,21.9,1784239105574,1784239102798
14.74,24.9,1784239105605,1784239102832
14.78,24.9,1784239105647,1784239102874
14.82,36.9,1784239105668,1784239102907
14.87,44.9,1784239105711,1784239102958
14.88,15.9,1784239105748,1784239102966
14.91,18.9,1784239105780,1784239103001
14.94,19.9,1784239105812,1784239103034
14.98,21.9,1784239105844,1784239103068
15.01,22.9,1784239105876,1784239103101
15.04,22.9,1784239105910,1784239103135
15.10,51.9,1784239105940,1784239103194
15.11,27.9,1784239105972,1784239103202
15.17,52.9,1784239106006,1784239103261
15.19,22.9,1784239106052,1784239103277
15.22,23.9,1784239106085,1784239103311
15.25,17.9,1784239106120,1784239103340
15.28,20.9,1784239106149,1784239103372
15.32,23.9,1784239106180,1784239103406
15.35,25.9,1784239106212,1784239103440
15.38,26.9,1784239106244,1784239103473
15.41,21.9,1784239106275,1784239103499
15.45,30.9,1784239106307,1784239103540
15.51,46.9,1784239106350,1784239103599
15.52,17.9,1784239106388,1784239103608
15.55,34.9,1784239106404,1784239103641
15.60,35.9,1784239106452,1784239103690
15.62,19.9,1784239106486,1784239103708
15.65,22.9,1784239106516,1784239103741
15.68,24.9,1784239106547,1784239103774
15.72,19.4,1784239106586,1784239103808
15.74,18.4,1784239106612,1784239103833
15.78,17.4,1784239106655,1784239103875
15.82,18.4,1784239106686,1784239103907
15.84,23.4,1784239106707,1784239103933
15.89,25.4,1784239106750,1784239103978
15.92,22.4,1784239106787,1784239104012
15.97,41.4,1784239106819,1784239104063
15.98,16.4,1784239106851,1784239104070
16.01,14.4,1784239106886,1784239104103
16.06,21.4,1784239106923,1784239104147
16.11,39.4,1784239106956,1784239104198
16.12,25.4,1784239106986,1784239104214
16.17,36.4,1784239107025,1784239104264
16.19,21.4,1784239107057,1784239104281
16.22,15.4,1784239107088,1784239104306
16.27,28.4,1784239107125,1784239104356
16.28,17.4,1784239107152,1784239104372
16.32,18.4,1784239107186,1784239104407
16.35,21.4,1784239107215,1784239104439
16.38,12.4,1784239107258,1784239104473
16.43,26.4,1784239107286,1784239104515
16.46,18.4,1784239107327,1784239104548
16.51,39.4,1784239107358,1784239104600
16.53,20.4,1784239107394,1784239104617
16.55,18.4,1784239107422,1784239104643
16.59,20.4,1784239107454,1784239104677
16.63,22.4,1784239107494,1784239104719
16.65,24.4,1784239107517,1784239104744
16.69,15.4,1784239107559,1784239104777
16.75,39.4,1784239107594,1784239104836
16.76,14.4,1784239107628,1784239104845
16.80,25.4,1784239107660,1784239104888
16.83,24.4,1784239107694,1784239104921
16.86,21.4,1784239107723,1784239104947
16.89,22.4,1784239107755,1784239104980
16.94,32.4,1784239107797,1784239105032
16.96,27.4,1784239107819,1784239105049
17.02,40.4,1784239107866,1784239105109
17.04,26.4,1784239107895,1784239105124
17.06,18.4,1784239107930,1784239105151
17.10,23.4,1784239107962,1784239105188
17.13,19.4,1784239107999,1784239105221
17.16,26.4,1784239108025,1784239105254
17.20,20.4,1784239108065,1784239105288
17.26,45.4,1784239108099,1784239105347
17.27,29.4,1784239108123,1784239105355
17.32,58.4,1784239108152,1784239105413
17.33,18.4,1784239108200,1784239105421
17.37,20.4,1784239108232,1784239105455
17.40,21.4,1784239108265,1784239105489
17.43,23.4,1784239108296,1784239105522
17.47,24.4,1784239108328,1784239105555
17.52,44.4,1784239108359,1784239105606
17.53,24.4,1784239108396,1784239105623
17.56,22.4,1784239108423,1784239105648
17.61,39.4,1784239108456,1784239105698
17.63,15.4,1784239108504,1784239105722
17.67,16.4,1784239108537,1784239105756
17.70,19.4,1784239108568,1784239105790
17.73,20.4,1784239108600,1784239105824
17.77,17.4,1784239108636,1784239105857
17.80,23.4,1784239108664,1784239105891
17.83,24.4,1784239108697,1784239105925
17.87,17.4,1784239108736,1784239105957
17.93,56.4,1784239108759,1784239106019
17.95,30.4,1784239108802,1784239106036
17.97,18.4,1784239108839,1784239106061
18.03,45.4,1784239108871,1784239106120
18.04,22.4,1784239108903,1784239106129
18.07,23.4,1784239108936,1784239106163
18.11,26.4,1784239108967,1784239106197
18.13,20.4,1784239108999,1784239106223
18.17,25.4,1784239109036,1784239106265
18.21,29.4,1784239109065,1784239106298
18.26,37.4,1784239109107,1784239106348
18.27,16.4,1784239109136,1784239106356
18.31,20.4,1784239109175,1784239106399
18.34,20.4,1784239109207,1784239106431
18.38,22.4,1784239109239,1784239106465
18.40,17.4,1784239109271,1784239106492
18.44,20.4,1784239109302,1784239106526
18.48,28.4,1784239109336,1784239106568
18.50,23.4,1784239109366,1784239106593
18.55,23.4,1784239109409,1784239106636
18.58,28.4,1784239109437,1784239106669
18.60,13.4,1784239109478,1784239106695
18.65,22.4,1784239109510,1784239106736
18.67,16.4,1784239109541,1784239106761
18.70,18.4,1784239109573,1784239106795
18.74,18.4,1784239109605,1784239106827
18.79,27.4,1784239109647,1784239106878
18.82,40.4,1784239109668,1784239106912
18.87,46.4,1784239109711,1784239106961
18.88,30.4,1784239109736,1784239106970
18.91,20.4,1784239109780,1784239107004
18.97,47.4,1784239109812,1784239107063
18.98,23.4,1784239109844,1784239107071
19.01,18.4,1784239109875,1784239107097
19.04,18.4,1784239109910,1784239107132
19.08,21.4,1784239109940,1784239107165
19.11,24.4,1784239109971,1784239107199
19.15,29.4,1784239110003,1784239107236
19.19,44.4,1784239110036,1784239107284
19.25,55.4,1784239110082,1784239107341
19.25,23.4,1784239110114,1784239107341
19.31,49.4,1784239110147,1784239107400
19.31,17.4,1784239110179,1784239107400
19.36,37.4,1784239110211,1784239107452
19.40,43.4,1784239110246,1784239107493
19.43,40.4,1784239110275,1784239107519
19.45,23.4,1784239110308,1784239107535
19.51,47.4,1784239110350,1784239107601
19.52,40.4,1784239110371,1784239107615
19.56,31.4,1784239110419,1784239107654
19.58,15.4,1784239110451,1784239107670
19.62,22.4,1784239110486,1784239107712
19.65,21.4,1784239110515,1784239107740
19.69,32.4,1784239110546,1784239107782
19.72,28.4,1784239110578,1784239107810
19.75,20.5,1784239110610,1784239107836
19.80,33.5,1784239110653,1784239107892
19.82,14.5,1784239110686,1784239107906
19.87,51.5,1784239110706,1784239107963
19.89,17.5,1784239110754,1784239107977
19.93,26.5,1784239110787,1784239108019
19.96,23.5,1784239110818,1784239108047
19.98,14.5,1784239110855,1784239108075
20.03,23.5,1784239110886,1784239108115
20.05,24.5,1784239110914,1784239108144
20.11,47.5,1784239110946,1784239108199
20.11,7.5,1784239110986,1784239108199
20.18,54.5,1784239111009,1784239108269
20.19,20.5,1784239111057,1784239108283
20.22,16.5,1784239111089,1784239108311
20.26,27.5,1784239111120,1784239108353
20.32,50.5,1784239111153,1784239108409
20.32,17.5,1784239111186,1784239108409
20.36,28.5,1784239111216,1784239108450
20.42,52.5,1784239111249,1784239108507
20.42,15.5,1784239111286,1784239108507
20.46,30.5,1784239111312,1784239108548
20.51,42.5,1784239111355,1784239108603
20.53,19.5,1784239111392,1784239108617
20.56,16.5,1784239111424,1784239108646
20.61,39.5,1784239111456,1784239108701
20.63,22.5,1784239111488,1784239108716
20.65,17.5,1784239111520,1784239108743
20.71,41.5,1784239111551,1784239108798
20.72,20.5,1784239111586,1784239108812
20.75,19.5,1784239111616,1784239108841
20.81,33.5,1784239111658,1784239108897
20.83,23.5,1784239111695,1784239108924
20.86,19.5,1784239111727,1784239108952
20.89,15.5,1784239111759,1784239108980
20.93,26.5,1784239111790,1784239109022
20.96,21.5,1784239111822,1784239109049
20.99,18.5,1784239111854,1784239109078
21.03,16.5,1784239111897,1784239109119
21.09,41.5,1784239111929,1784239109176
21.13,51.5,1784239111960,1784239109217
21.13,14.5,1784239111998,1784239109218
21.17,23.5,1784239112030,1784239109259
21.20,15.5,1784239112065,1784239109286
21.22,15.5,1784239112094,1784239109315
21.27,26.5,1784239112125,1784239109357
21.30,21.5,1784239112157,1784239109384
21.35,45.5,1784239112189,1784239109440
21.36,28.5,1784239112221,1784239109455
21.42,50.5,1784239112253,1784239109509
21.43,31.5,1784239112286,1784239109523
21.48,26.5,1784239112333,1784239109565
21.52,36.5,1784239112365,1784239109607
21.56,46.5,1784239112397,1784239109649
21.56,15.5,1784239112428,1784239109649
21.60,25.5,1784239112460,1784239109691
21.63,20.5,1784239112493,1784239109719
21.67,31.5,1784239112524,1784239109761
21.70,28.5,1784239112555,1784239109789
21.75,41.5,1784239112597,1784239109844
21.80,45.1,1784239112634,1784239109886
21.81,27.1,1784239112666,1784239109900
21.84,23.1,1784239112698,1784239109928
21.87,12.1,1784239112736,1784239109955
21.89,15.1,1784239112762,1784239109984
21.94,25.1,1784239112794,1784239110026
21.98,24.1,1784239112836,1784239110067
21.99,16.1,1784239112859,1784239110082
22.05,25.1,1784239112905,1784239110137
22.07,19.1,1784239112938,1784239110164
22.13,42.1,1784239112971,1784239110220
22.14,23.1,1784239113005,1784239110235
22.17,19.1,1784239113037,1784239110263
22.20,17.1,1784239113067,1784239110291
22.24,19.1,1784239113105,1784239110331
22.28,31.1,1784239113136,1784239110374
22.31,31.1,1784239113163,1784239110401
22.33,4.1,1784239113205,1784239110416
22.37,14.1,1784239113236,1784239110457
22.42,47.1,1784239113259,1784239110513
22.47,41.1,1784239113307,1784239110555
22.47,9.1,1784239113339,1784239110555
22.52,34.1,1784239113370,1784239110611
22.56,40.1,1784239113405,1784239110652
22.58,24.1,1784239113436,1784239110667
22.60,18.1,1784239113469,1784239110694
22.63,10.1,1784239113505,1784239110722
