TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
9.27,-10.0,1784228751808,1784228749151
9.29,-11.0,1784228751834,1784228749176
9.33,-2.0,1784228751868,1784228749219
9.36,-9.0,1784228751900,1784228749244
9.39,-11.0,1784228751931,1784228749273
9.43,-3.0,1784228751965,1784228749315
9.46,-9.0,1784228751999,1784228749343
9.50,-1.0,1784228752033,1784228749385
9.53,-4.0,1784228752064,1784228749413
9.55,-6.0,1784228752093,1784228749440
9.60,-4.0,1784228752133,1784228749482
9.62,-12.0,1784228752168,1784228749509
9.67,1.0,1784228752200,1784228749554
9.69,-7.0,1784228752234,1784228749580
9.72,-5.0,1784228752260,1784228749608
9.76,-1.0,1784228752298,1784228749650
9.79,-8.0,1784228752332,1784228749677
9.83,-7.0,1784228752367,1784228749713
9.86,-8.0,1784228752401,1784228749746
9.90,-1.0,1784228752436,1784228749788
9.93,-5.0,1784228752468,1784228749816
9.96,-7.0,1784228752504,1784228749850
10.00,3.0,1784228752535,1784228749891
10.03,1.0,1784228752565,1784228749919
10.06,-8.0,1784228752600,1784228749945
10.10,-6.0,1784228752637,1784228749984
10.12,-6.0,1784228752664,1784228750011
10.17,-7.0,1784228752706,1784228750052
10.19,-8.0,1784228752735,1784228750080
10.22,-11.0,1784228752766,1784228750108
10.26,-4.0,1784228752802,1784228750151
10.29,-9.0,1784228752834,1784228750178
10.33,-3.0,1784228752870,1784228750220
10.36,-6.0,1784228752901,1784228750248
10.40,2.0,1784228752935,1784228750290
10.43,-1.0,1784228752966,1784228750318
10.46,-7.0,1784228752999,1784228750345
10.50,-4.0,1784228753037,1784228750386
10.53,-5.0,1784228753068,1784228750416
10.56,-11.0,1784228753101,1784228750443
10.60,-3.0,1784228753136,1784228750486
10.63,-11.0,1784228753171,1784228750513
10.67,-2.0,1784228753202,1784228750553
10.70,-6.0,1784228753236,1784228750583
10.72,-12.0,1784228753269,1784228750610
10.77,-4.0,1784228753303,1784228750652
10.79,-10.0,1784228753336,1784228750679
10.83,-3.0,1784228753371,1784228750721
10.86,-7.0,1784228753404,1784228750750
10.91,1.0,1784228753437,1784228750791
10.93,-5.0,1784228753471,1784228750819
10.96,-10.0,1784228753504,1784228750847
11.00,-1.0,1784228753538,1784228750890
11.03,-9.0,1784228753572,1784228750916
11.07,0.0,1784228753605,1784228750958
11.10,-5.0,1784228753638,1784228750986
11.13,-12.0,1784228753673,1784228751014
11.17,-5.0,1784228753708,1784228751056
11.20,-8.0,1784228753739,1784228751084
11.24,0.0,1784228753773,1784228751126
11.27,-7.3,1784228753807,1784228751152
11.31,0.7,1784228753841,1784228751194
11.34,-3.3,1784228753874,1784228751223
11.36,-9.3,1784228753908,1784228751251
11.41,-0.3,1784228753941,1784228751293
11.43,-7.3,1784228753975,1784228751320
11.46,-11.3,1784228754008,1784228751349
11.51,-1.3,1784228754042,1784228751393
11.53,-9.3,1784228754076,1784228751419
11.57,-3.3,1784228754110,1784228751459
11.60,-8.3,1784228754143,1784228751487
11.64,-0.3,1784228754177,1784228751529
11.67,-5.3,1784228754211,1784228751558
11.71,2.7,1784228754243,1784228751598
11.74,-2.3,1784228754277,1784228751627
11.77,-9.3,1784228754311,1784228751654
11.81,-1.3,1784228754344,1784228751695
11.84,-5.3,1784228754377,1784228751724
11.88,0.7,1784228754412,1784228751765
11.91,-5.3,1784228754446,1784228751793
11.94,-9.3,1784228754478,1784228751821
11.98,-2.3,1784228754513,1784228751863
12.01,-7.3,1784228754546,1784228751891
12.05,0.7,1784228754580,1784228751933
12.07,-5.3,1784228754614,1784228751961
12.12,2.7,1784228754647,1784228752002
12.14,-2.3,1784228754681,1784228752031
12.17,-7.3,1784228754714,1784228752059
12.21,0.7,1784228754747,1784228752100
12.24,-6.3,1784228754782,1784228752128
12.27,-10.3,1784228754814,1784228752156
12.31,-3.3,1784228754849,1784228752198
12.34,-9.3,1784228754883,1784228752226
12.38,-2.3,1784228754916,1784228752266
12.41,-7.3,1784228754950,1784228752295
12.45,1.7,1784228754983,1784228752337
12.48,-5.3,1784228755018,1784228752365
12.51,-10.3,1784228755050,1784228752392
12.55,-3.3,1784228755085,1784228752434
12.58,-9.3,1784228755119,1784228752462
12.62,0.7,1784228755151,1784228752504
12.65,-4.3,1784228755184,1784228752532
12.67,-11.3,1784228755218,1784228752559
12.71,-3.3,1784228755252,1784228752601
12.74,-7.3,1784228755284,1784228752629
12.79,0.7,1784228755319,1784228752672
12.81,-6.3,1784228755353,1784228752699
12.85,1.7,1784228755386,1784228752740
12.88,-4.3,1784228755420,1784228752768
12.91,-10.3,1784228755454,1784228752796
12.95,-1.3,1784228755487,1784228752838
12.98,-7.3,1784228755521,1784228752866
13.02,0.7,1784228755554,1784228752907
13.05,-5.3,1784228755588,1784228752935
13.09,1.7,1784228755623,1784228752977
13.12,-1.3,1784228755654,1784228753005
13.15,-7.3,1784228755688,1784228753033
13.19,0.7,1784228755722,1784228753075
13.22,-4.3,1784228755755,1784228753103
13.24,-11.3,1784228755789,1784228753130
13.29,-4.7,1784228755824,1784228753171
13.31,-8.7,1784228755856,1784228753199
13.36,-0.7,1784228755890,1784228753241
13.38,-5.7,1784228755924,1784228753270
13.43,2.3,1784228755957,1784228753311
13.45,-4.7,1784228755992,1784228753339
13.48,-7.7,1784228756024,1784228753368
13.52,-1.7,1784228756058,1784228753408
13.55,-6.7,1784228756091,1784228753436
13.59,1.3,1784228756125,1784228753478
13.62,-3.7,1784228756158,1784228753506
13.65,-9.7,1784228756192,1784228753534
13.69,-0.7,1784228756225,1784228753576
13.72,-7.7,1784228756260,1784228753604
13.76,-0.7,1784228756294,1784228753645
13.79,-3.7,1784228756326,1784228753674
13.83,0.3,1784228756363,1784228753715
13.86,-3.7,1784228756395,1784228753743
13.88,-9.7,1784228756428,1784228753770
13.93,-1.7,1784228756462,1784228753812
13.95,-5.7,1784228756495,1784228753841
14.00,1.3,1784228756529,1784228753882
14.02,-4.7,1784228756563,1784228753910
