TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
10.46,-3.0,1784227037163,1784227034554
10.48,7.0,1784227037170,1784227034571
10.51,-5.0,1784227037209,1784227034598
10.55,4.0,1784227037242,1784227034640
10.58,-2.0,1784227037274,1784227034666
10.60,-7.0,1784227037308,1784227034695
10.65,4.0,1784227037338,1784227034736
10.68,0.0,1784227037373,1784227034767
10.72,4.0,1784227037407,1784227034805
10.74,-2.0,1784227037441,1784227034833
10.77,-8.0,1784227037475,1784227034861
10.81,0.0,1784227037509,1784227034903
10.84,-6.0,1784227037543,1784227034931
10.88,1.0,1784227037577,1784227034972
10.91,-6.0,1784227037611,1784227034999
10.95,7.0,1784227037642,1784227035043
10.98,6.0,1784227037670,1784227035070
11.01,-8.0,1784227037711,1784227035097
11.05,6.0,1784227037740,1784227035140
11.08,1.0,1784227037772,1784227035167
11.10,-7.0,1784227037808,1784227035195
11.15,1.0,1784227037842,1784227035237
11.18,-3.0,1784227037877,1784227035268
11.22,4.0,1784227037908,1784227035306
11.24,2.0,1784227037939,1784227035335
11.29,4.0,1784227037978,1784227035376
11.31,1.0,1784227038010,1784227035405
11.34,-2.0,1784227038041,1784227035433
11.38,4.0,1784227038076,1784227035474
11.41,1.0,1784227038108,1784227035503
11.44,-6.0,1784227038141,1784227035529
11.48,0.0,1784227038177,1784227035571
11.51,-7.0,1784227038212,1784227035599
11.55,3.0,1784227038244,1784227035641
11.58,-3.0,1784227038278,1784227035669
11.62,0.0,1784227038316,1784227035710
11.65,-1.0,1784227038345,1784227035738
11.68,-1.0,1784227038376,1784227035769
11.72,1.0,1784227038413,1784227035808
11.76,5.0,1784227038451,1784227035850
11.79,5.0,1784227038478,1784227035877
11.82,1.0,1784227038511,1784227035906
11.84,-6.0,1784227038544,1784227035932
11.88,2.0,1784227038579,1784227035975
11.91,-3.0,1784227038612,1784227036003
11.94,-8.0,1784227038645,1784227036031
11.98,0.0,1784227038679,1784227036073
12.01,-7.0,1784227038712,1784227036099
12.05,2.0,1784227038746,1784227036142
