TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
9.17,12.5,1783509316146,1783509312798
9.20,5.5,1783509316181,1783509312826
9.22,-1.5,1783509316215,1783509312853
9.26,6.5,1783509316249,1783509312895
9.29,1.5,1783509316283,1783509312924
9.33,9.5,1783509316316,1783509312965
9.36,3.5,1783509316350,1783509312993
9.40,11.5,1783509316384,1783509313035
9.43,6.5,1783509316416,1783509313062
9.46,2.5,1783509316449,1783509313091
9.50,8.5,1783509316484,1783509313132
9.53,3.5,1783509316517,1783509313160
9.61,54.5,1783509316550,1783509313244
9.61,20.5,1783509316584,1783509313244
9.64,13.5,1783509316619,1783509313272
9.74,8.5,1783509316721,1783509313369
9.75,8.5,1783509316736,1783509313384
9.77,5.5,1783509316753,1783509313398
9.81,13.5,1783509316786,1783509313439
9.84,9.5,1783509316818,1783509313467
9.86,1.5,1783509316854,1783509313495
9.91,10.5,1783509316887,1783509313537
9.93,4.5,1783509316921,1783509313565
9.98,14.5,1783509316953,1783509313607
10.00,5.5,1783509316989,1783509313634
10.03,1.5,1783509317022,1783509313663
10.07,10.5,1783509317054,1783509313704
10.10,3.5,1783509317089,1783509313732
10.13,-1.5,1783509317122,1783509313760
10.17,6.5,1783509317155,1783509313801
10.21,15.5,1783509317189,1783509313844
10.24,8.5,1783509317223,1783509313871
10.27,3.5,1783509317256,1783509313899
10.31,11.5,1783509317291,1783509313942
10.34,5.5,1783509317324,1783509313969
10.37,1.5,1783509317356,1783509313997
10.41,8.5,1783509317391,1783509314039
10.44,2.5,1783509317425,1783509314067
10.48,11.5,1783509317458,1783509314109
10.52,21.5,1783509317491,1783509314152
10.53,-0.5,1783509317525,1783509314164
10.58,8.5,1783509317558,1783509314206
10.63,30.5,1783509317592,1783509314262
10.65,10.5,1783509317626,1783509314276
10.67,5.5,1783509317659,1783509314304
10.73,26.5,1783509317693,1783509314359
10.74,6.5,1783509317727,1783509314373
10.77,1.5,1783509317760,1783509314401
10.83,24.5,1783509317793,1783509314457
10.84,3.5,1783509317828,1783509314471
10.88,11.5,1783509317861,1783509314512
10.93,22.5,1783509317895,1783509314557
10.94,3.5,1783509317927,1783509314570
10.98,9.5,1783509317962,1783509314611
11.02,17.5,1783509317996,1783509314653
11.05,11.5,1783509318029,1783509314680
11.08,6.5,1783509318062,1783509314708
11.12,12.5,1783509318097,1783509314749
11.13,-3.9,1783509318129,1783509314764
11.17,3.1,1783509318163,1783509314805
11.22,11.1,1783509318197,1783509314847
11.24,6.1,1783509318230,1783509314875
11.27,-0.9,1783509318265,1783509314903
11.31,8.1,1783509318298,1783509314945
