TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
9.05,9.5,1783506138294,1783506134932
9.07,11.5,1783506138306,1783506134946
9.11,16.5,1783506138340,1783506134985
9.14,10.5,1783506138373,1783506135012
9.16,4.5,1783506138407,1783506135040
9.21,13.5,1783506138440,1783506135082
9.23,7.5,1783506138474,1783506135110
9.28,15.5,1783506138507,1783506135151
9.30,9.5,1783506138541,1783506135179
9.33,2.5,1783506138575,1783506135206
9.37,11.5,1783506138609,1783506135249
9.40,5.5,1783506138642,1783506135276
9.44,15.5,1783506138676,1783506135320
9.48,22.5,1783506138710,1783506135361
9.51,18.5,1783506138742,1783506135389
9.54,12.5,1783506138777,1783506135418
9.57,4.5,1783506138810,1783506135443
9.61,12.5,1783506138844,1783506135485
9.64,8.5,1783506138877,1783506135514
9.68,14.5,1783506138912,1783506135555
9.71,10.5,1783506138945,1783506135584
9.74,5.5,1783506138978,1783506135612
9.78,12.5,1783506139012,1783506135653
9.80,7.5,1783506139045,1783506135681
9.85,15.5,1783506139079,1783506135723
9.87,9.5,1783506139113,1783506135751
9.92,16.5,1783506139147,1783506135792
9.94,12.5,1783506139179,1783506135820
9.97,6.5,1783506139213,1783506135848
10.03,28.5,1783506139247,1783506135904
10.04,8.5,1783506139281,1783506135918
10.08,16.5,1783506139314,1783506135959
10.11,10.5,1783506139348,1783506135987
10.14,4.5,1783506139382,1783506136015
10.18,13.5,1783506139415,1783506136057
10.21,7.5,1783506139449,1783506136085
10.24,3.5,1783506139482,1783506136114
10.28,11.5,1783506139516,1783506136156
10.31,3.5,1783506139550,1783506136182
10.35,12.5,1783506139583,1783506136224
10.38,6.5,1783506139617,1783506136252
10.42,14.5,1783506139651,1783506136294
10.45,10.5,1783506139683,1783506136322
10.49,17.5,1783506139718,1783506136364
10.52,11.5,1783506139752,1783506136392
10.54,6.5,1783506139785,1783506136420
10.59,13.5,1783506139819,1783506136461
10.61,10.5,1783506139851,1783506136490
10.64,2.5,1783506139886,1783506136517
10.68,11.5,1783506139919,1783506136559
10.71,5.5,1783506139953,1783506136587
10.75,14.5,1783506139986,1783506136629
10.79,21.5,1783506140020,1783506136670
10.82,15.5,1783506140054,1783506136698
10.85,10.5,1783506140087,1783506136726
10.88,4.5,1783506140121,1783506136754
10.92,12.5,1783506140154,1783506136795
10.95,7.5,1783506140187,1783506136823
10.99,15.5,1783506140221,1783506136865
11.02,10.5,1783506140254,1783506136893
11.05,3.5,1783506140289,1783506136921
11.09,12.6,1783506140322,1783506136963
11.11,6.6,1783506140356,1783506136991
11.16,14.6,1783506140390,1783506137033
11.18,8.6,1783506140423,1783506137060
11.21,2.6,1783506140457,1783506137088
11.25,11.6,1783506140490,1783506137130
11.30,19.6,1783506140524,1783506137172
11.32,14.6,1783506140557,1783506137200
11.35,7.6,1783506140591,1783506137227
11.39,17.6,1783506140624,1783506137270
11.42,10.6,1783506140658,1783506137297
11.45,4.6,1783506140692,1783506137325
11.49,12.6,1783506140726,1783506137367
11.52,7.6,1783506140759,1783506137395
11.56,14.6,1783506140793,1783506137436
11.59,10.6,1783506140826,1783506137465
11.63,18.6,1783506140859,1783506137506
11.66,12.6,1783506140893,1783506137534
11.69,6.6,1783506140927,1783506137562
11.73,14.6,1783506140961,1783506137604
11.76,8.6,1783506140994,1783506137631
11.78,4.6,1783506141027,1783506137660
11.82,10.6,1783506141062,1783506137701
11.87,19.6,1783506141095,1783506137743
11.89,14.6,1783506141128,1783506137771
11.92,6.6,1783506141163,1783506137798
11.96,15.6,1783506141196,1783506137840
11.99,10.6,1783506141229,1783506137868
12.03,18.6,1783506141263,1783506137910
12.06,14.6,1783506141296,1783506137939
12.09,6.6,1783506141331,1783506137966
12.13,13.6,1783506141366,1783506138008
12.16,10.6,1783506141397,1783506138036
12.19,4.6,1783506141431,1783506138064
12.23,11.6,1783506141465,1783506138105
12.27,19.6,1783506141499,1783506138147
12.30,13.6,1783506141532,1783506138174
12.33,9.6,1783506141565,1783506138203
12.37,16.6,1783506141599,1783506138244
12.40,11.6,1783506141632,1783506138272
12.42,5.6,1783506141666,1783506138300
12.47,14.6,1783506141699,1783506138342
12.49,7.6,1783506141733,1783506138369
12.54,15.6,1783506141767,1783506138411
12.56,9.6,1783506141801,1783506138439
12.59,5.6,1783506141834,1783506138468
12.63,12.6,1783506141868,1783506138509
12.66,8.6,1783506141900,1783506138537
12.70,15.6,1783506141935,1783506138579
12.73,9.6,1783506141969,1783506138607
12.77,18.6,1783506142002,1783506138649
12.80,10.6,1783506142037,1783506138676
12.84,20.6,1783506142069,1783506138718
12.87,14.6,1783506142103,1783506138746
12.90,8.6,1783506142136,1783506138773
12.94,16.6,1783506142171,1783506138816
12.97,11.6,1783506142203,1783506138843
12.99,5.6,1783506142237,1783506138871
13.04,12.6,1783506142272,1783506138913
13.06,7.1,1783506142305,1783506138941
13.11,15.1,1783506142339,1783506138983
13.13,10.1,1783506142372,1783506139011
13.18,17.1,1783506142406,1783506139052
13.20,12.1,1783506142439,1783506139080
13.23,6.1,1783506142473,1783506139108
13.27,15.1,1783506142506,1783506139150
13.30,8.1,1783506142540,1783506139177
13.34,18.1,1783506142573,1783506139220
13.37,10.1,1783506142608,1783506139247
13.40,6.1,1783506142641,1783506139276
13.44,13.1,1783506142675,1783506139317
13.47,8.1,1783506142708,1783506139345
13.51,15.1,1783506142742,1783506139386
13.55,25.1,1783506142775,1783506139429
13.57,4.1,1783506142809,1783506139442
13.61,13.1,1783506142842,1783506139484
13.64,6.1,1783506142877,1783506139512
13.68,15.1,1783506142910,1783506139554
13.70,9.1,1783506142943,1783506139581
13.73,4.1,1783506142976,1783506139609
13.77,12.1,1783506143010,1783506139651
13.80,7.1,1783506143044,1783506139680
13.84,15.1,1783506143077,1783506139721
13.87,8.1,1783506143111,1783506139748
13.91,16.1,1783506143145,1783506139790
13.94,10.1,1783506143179,1783506139818
13.98,18.1,1783506143213,1783506139860
14.01,15.1,1783506143245,1783506139889
14.04,9.1,1783506143278,1783506139916
14.08,14.1,1783506143314,1783506139957
14.11,11.1,1783506143346,1783506139986
14.14,6.1,1783506143379,1783506140014
14.18,11.1,1783506143414,1783506140054
14.21,7.1,1783506143447,1783506140083
14.25,16.1,1783506143480,1783506140125
14.28,10.1,1783506143514,1783506140153
14.30,4.1,1783506143548,1783506140181
14.35,11.1,1783506143582,1783506140222
14.37,6.1,1783506143615,1783506140250
14.42,15.1,1783506143648,1783506140292
14.44,10.1,1783506143681,1783506140320
14.47,3.1,1783506143715,1783506140347
14.51,11.1,1783506143750,1783506140390
14.54,6.1,1783506143783,1783506140418
14.58,15.1,1783506143816,1783506140460
14.61,8.1,1783506143850,1783506140487
14.65,15.1,1783506143884,1783506140528
14.68,10.1,1783506143917,1783506140556
14.71,4.1,1783506143951,1783506140584
14.75,13.1,1783506143984,1783506140626
14.78,7.1,1783506144018,1783506140654
14.82,15.1,1783506144052,1783506140696
14.85,9.1,1783506144086,1783506140724
14.89,17.1,1783506144119,1783506140765
14.92,13.1,1783506144152,1783506140794
14.94,6.1,1783506144186,1783506140821
14.99,15.1,1783506144219,1783506140863
15.01,8.1,1783506144254,1783506140891
15.06,16.1,1783506144287,1783506140932
15.08,10.5,1783506144321,1783506140961
15.11,4.5,1783506144354,1783506140988
15.15,13.5,1783506144387,1783506141030
15.18,6.5,1783506144422,1783506141058
15.22,14.5,1783506144455,1783506141099
15.25,9.5,1783506144489,1783506141128
