TiempoDesdeInicioSesion,TimestampVideo,LatenciaVideo
9.07,23.5,1783452725167,1783452723239
9.09,28.5,1783452725189,1783452723266
9.12,20.5,1783452725224,1783452723293
9.16,27.5,1783452725258,1783452723334
9.19,22.5,1783452725292,1783452723363
9.23,30.5,1783452725326,1783452723405
9.27,40.5,1783452725358,1783452723447
9.29,19.5,1783452725392,1783452723460
9.33,28.5,1783452725425,1783452723502
9.36,22.5,1783452725459,1783452723530
9.40,30.5,1783452725492,1783452723571
9.43,24.5,1783452725526,1783452723599
9.45,19.5,1783452725558,1783452723626
9.50,26.5,1783452725593,1783452723668
9.52,21.5,1783452725627,1783452723697
9.57,28.5,1783452725661,1783452723738
9.59,22.5,1783452725694,1783452723765
9.62,18.5,1783452725727,1783452723794
9.66,25.5,1783452725761,1783452723835
9.72,47.5,1783452725794,1783452723890
9.73,28.5,1783452725828,1783452723905
9.76,20.5,1783452725863,1783452723932
9.80,29.5,1783452725896,1783452723974
9.83,26.5,1783452725928,1783452724003
9.86,19.5,1783452725962,1783452724030
9.90,25.5,1783452725997,1783452724071
9.94,34.5,1783452726030,1783452724113
9.97,28.5,1783452726063,1783452724140
10.00,23.5,1783452726097,1783452724169
10.04,30.5,1783452726131,1783452724210
10.07,25.5,1783452726164,1783452724238
10.09,19.5,1783452726198,1783452724266
10.13,27.5,1783452726231,1783452724307
10.16,21.5,1783452726265,1783452724335
10.20,29.5,1783452726299,1783452724377
10.23,24.5,1783452726332,1783452724405
10.26,18.5,1783452726366,1783452724433
10.30,25.5,1783452726399,1783452724473
10.33,20.5,1783452726433,1783452724502
10.37,28.5,1783452726466,1783452724543
10.40,23.5,1783452726499,1783452724571
10.44,30.5,1783452726534,1783452724613
10.47,24.5,1783452726568,1783452724641
10.50,19.5,1783452726600,1783452724668
10.54,25.5,1783452726636,1783452724710
10.56,21.5,1783452726667,1783452724737
10.61,29.5,1783452726702,1783452724780
10.63,23.5,1783452726735,1783452724807
10.66,17.5,1783452726769,1783452724835
10.70,27.5,1783452726801,1783452724877
10.73,20.5,1783452726836,1783452724905
10.77,27.5,1783452726870,1783452724946
10.80,22.5,1783452726903,1783452724974
10.83,16.5,1783452726936,1783452725001
10.87,23.5,1783452726971,1783452725043
10.90,18.5,1783452727004,1783452725071
10.94,26.5,1783452727038,1783452725113
10.97,19.5,1783452727072,1783452725140
11.01,27.5,1783452727105,1783452725181
11.04,21.8,1783452727138,1783452725210
11.06,14.8,1783452727173,1783452725238
11.11,23.8,1783452727206,1783452725280
11.13,17.8,1783452727239,1783452725307
11.18,23.8,1783452727274,1783452725348
11.20,17.8,1783452727308,1783452725376
11.24,27.8,1783452727340,1783452725418
11.27,21.8,1783452727374,1783452725446
11.30,16.8,1783452727407,1783452725474
11.34,22.8,1783452727441,1783452725514
11.37,17.8,1783452727475,1783452725543
11.41,26.8,1783452727508,1783452725585
11.44,19.8,1783452727542,1783452725612
11.47,14.8,1783452727575,1783452725640
11.51,22.8,1783452727609,1783452725682
11.54,16.8,1783452727643,1783452725710
11.58,24.8,1783452727676,1783452725751
11.61,18.8,1783452727710,1783452725779
11.65,26.8,1783452727744,1783452725821
11.68,21.8,1783452727777,1783452725849
11.70,14.8,1783452727811,1783452725876
11.74,22.8,1783452727845,1783452725918
11.77,15.8,1783452727879,1783452725945
11.81,26.8,1783452727911,1783452725988
11.84,19.8,1783452727945,1783452726015
11.87,14.8,1783452727979,1783452726044
11.91,22.8,1783452728012,1783452726085
11.94,14.8,1783452728047,1783452726112
11.98,23.8,1783452728080,1783452726154
12.01,17.8,1783452728114,1783452726182
12.05,25.8,1783452728148,1783452726224
12.08,20.8,1783452728180,1783452726251
12.11,15.8,1783452728214,1783452726280
12.15,22.8,1783452728247,1783452726320
12.18,17.8,1783452728281,1783452726349
12.22,24.8,1783452728315,1783452726390
12.24,19.8,1783452728348,1783452726418
12.29,28.8,1783452728381,1783452726460
12.31,20.8,1783452728416,1783452726487
12.34,15.8,1783452728449,1783452726515
12.38,23.8,1783452728483,1783452726557
12.41,17.8,1783452728516,1783452726584
12.45,24.8,1783452728551,1783452726626
12.48,20.8,1783452728584,1783452726655
12.51,14.8,1783452728617,1783452726682
12.55,21.8,1783452728651,1783452726723
12.58,14.8,1783452728685,1783452726750
12.62,23.8,1783452728718,1783452726792
12.65,19.8,1783452728751,1783452726821
12.69,26.8,1783452728785,1783452726862
12.72,20.8,1783452728819,1783452726890
12.74,15.8,1783452728852,1783452726918
12.79,23.8,1783452728886,1783452726960
12.81,17.8,1783452728920,1783452726988
12.86,25.8,1783452728953,1783452727029
12.88,20.8,1783452728986,1783452727057
12.91,14.8,1783452729020,1783452727085
12.95,19.8,1783452729055,1783452727125
12.98,15.8,1783452729088,1783452727154
13.02,23.8,1783452729121,1783452727195
13.05,18.1,1783452729153,1783452727223
13.09,25.1,1783452729188,1783452727265
13.12,19.1,1783452729222,1783452727293
13.15,15.1,1783452729255,1783452727322
13.19,22.1,1783452729288,1783452727362
13.22,16.1,1783452729322,1783452727390
13.26,24.1,1783452729356,1783452727432
13.29,18.1,1783452729389,1783452727459
13.31,14.1,1783452729422,1783452727488
13.36,20.1,1783452729456,1783452727528
13.38,15.1,1783452729490,1783452727557
13.43,22.1,1783452729524,1783452727598
13.45,16.1,1783452729558,1783452727626
13.49,25.1,1783452729591,1783452727668
13.52,19.1,1783452729625,1783452727696
13.56,26.1,1783452729660,1783452727738
13.59,22.1,1783452729692,1783452727766
13.62,16.1,1783452729726,1783452727794
13.66,22.1,1783452729761,1783452727835
13.69,18.1,1783452729793,1783452727863
13.73,25.1,1783452729827,1783452727904
13.76,19.1,1783452729860,1783452727931
13.79,14.1,1783452729894,1783452727960
13.86,50.1,1783452729927,1783452728029
13.86,16.1,1783452729961,1783452728029
13.90,25.1,1783452729995,1783452728072
13.92,18.1,1783452730028,1783452728098
13.97,26.1,1783452730062,1783452728140
13.99,22.1,1783452730094,1783452728168
14.02,15.1,1783452730129,1783452728196
14.08,35.1,1783452730164,1783452728251
14.09,16.1,1783452730196,1783452728264
14.13,24.1,1783452730230,1783452728306
14.16,19.1,1783452730263,1783452728334
14.19,13.1,1783452730296,1783452728361
14.23,21.1,1783452730331,1783452728404
14.29,42.1,1783452730365,1783452728459
14.30,23.1,1783452730398,1783452728473
14.33,17.1,1783452730432,1783452728501
14.37,25.1,1783452730465,1783452728542
14.40,20.1,1783452730498,1783452728570
14.42,15.1,1783452730531,1783452728598
14.47,22.1,1783452730566,1783452728640
14.51,31.1,1783452730599,1783452728682
14.54,24.1,1783452730633,1783452728709
14.56,18.1,1783452730667,1783452728737
14.61,26.1,1783452730701,1783452728779
14.63,20.1,1783452730734,1783452728806
14.66,14.1,1783452730768,1783452728834
14.70,23.1,1783452730801,1783452728876
14.73,18.1,1783452730834,1783452728904
14.77,25.1,1783452730868,1783452728945
14.80,19.1,1783452730902,1783452728973
14.84,26.1,1783452730936,1783452729014
14.87,19.1,1783452730971,1783452729042
14.90,16.1,1783452731003,1783452729071
14.95,39.1,1783452731036,1783452729127
14.97,17.1,1783452731070,1783452729139
15.01,27.1,1783452731102,1783452729181
15.04,20.1,1783452731136,1783452729208
15.06,14.5,1783452731169,1783452729237
15.11,21.5,1783452731204,1783452729279
15.13,15.5,1783452731237,1783452729306
15.17,22.5,1783452731271,1783452729347
15.20,17.5,1783452731305,1783452729376
15.23,12.5,1783452731338,1783452729404
15.27,19.5,1783452731372,1783452729445
15.30,11.5,1783452731407,1783452729472
15.34,23.5,1783452731438,1783452729515
15.37,15.5,1783452731473,1783452729542
15.41,23.5,1783452731507,1783452729584
15.44,19.5,1783452731540,1783452729613
15.47,12.5,1783452731574,1783452729640
15.51,19.5,1783452731608,1783452729681
15.54,13.5,1783452731642,1783452729709
15.58,22.5,1783452731674,1783452729750
15.61,17.5,1783452731708,1783452729779
15.63,12.5,1783452731740,1783452729806
15.67,19.5,1783452731775,1783452729848
15.70,13.5,1783452731808,1783452729875
15.74,21.5,1783452731842,1783452729917
15.77,15.5,1783452731876,1783452729945
15.81,26.5,1783452731908,1783452729988
15.84,18.5,1783452731942,1783452730014
15.87,12.5,1783452731976,1783452730042
15.91,19.5,1783452732010,1783452730083
15.94,14.5,1783452732044,1783452730112
15.98,23.5,1783452732077,1783452730154
16.01,16.5,1783452732110,1783452730180
16.05,25.5,1783452732144,1783452730223
16.08,17.5,1783452732179,1783452730250
16.11,12.5,1783452732212,1783452730278
16.15,20.5,1783452732246,1783452730320
16.18,15.5,1783452732279,1783452730348
16.22,22.5,1783452732313,1783452730389
16.24,16.5,1783452732347,1783452730417
16.27,11.5,1783452732379,1783452730444
16.31,18.5,1783452732414,1783452730486
16.34,14.5,1783452732446,1783452730514
16.38,22.5,1783452732480,1783452730556
16.41,14.5,1783452732517,1783452730585
16.45,22.5,1783452732549,1783452730625
16.48,16.5,1783452732582,1783452730652
16.51,13.5,1783452732614,1783452730681
16.55,19.5,1783452732649,1783452730722
16.58,13.5,1783452732683,1783452730750
16.62,22.5,1783452732716,1783452730792
16.65,16.5,1783452732750,1783452730820
16.69,25.5,1783452732782,1783452730861
16.72,18.5,1783452732816,1783452730888
16.74,14.5,1783452732849,1783452730917
16.78,21.5,1783452732883,1783452730958
16.81,14.5,1783452732917,1783452730985
16.85,22.5,1783452732951,1783452731027
16.88,17.5,1783452732984,1783452731055
16.92,24.5,1783452733018,1783452731096
16.95,17.5,1783452733053,1783452731124
16.98,13.5,1783452733086,1783452731153
17.02,19.5,1783452733121,1783452731194
17.05,13.5,1783452733154,1783452731221
17.09,23.3,1783452733186,1783452731264
17.12,16.3,1783452733220,1783452731291
17.16,25.3,1783452733253,1783452731333
17.19,19.3,1783452733287,1783452731361
17.22,14.3,1783452733320,1783452731389
17.26,20.3,1783452733355,1783452731430
17.28,15.3,1783452733388,1783452731458
17.34,38.3,1783452733421,1783452731514
17.37,32.3,1783452733455,1783452731542
17.38,12.3,1783452733488,1783452731555
17.42,20.3,1783452733522,1783452731597
17.45,16.3,1783452733555,1783452731626
17.49,22.3,1783452733589,1783452731666
17.52,16.3,1783452733623,1783452731694
17.56,24.3,1783452733657,1783452731736
17.59,19.3,1783452733690,1783452731764
17.62,13.3,1783452733723,1783452731791
17.66,21.3,1783452733757,1783452731833
17.69,16.3,1783452733790,1783452731861
17.73,22.3,1783452733825,1783452731902
17.76,18.3,1783452733857,1783452731930
17.79,13.3,1783452733891,1783452731959
17.83,20.3,1783452733925,1783452732000
17.85,13.3,1783452733959,1783452732027
17.90,22.3,1783452733992,1783452732069
17.92,16.3,1783452734026,1783452732097
17.97,23.3,1783452734060,1783452732138
17.99,19.3,1783452734092,1783452732166
18.03,26.3,1783452734127,1783452732208
18.06,20.3,1783452734161,1783452732236
18.09,15.3,1783452734193,1783452732263
18.13,21.3,1783452734229,1783452732305
18.16,17.3,1783452734261,1783452732333
18.20,25.3,1783452734294,1783452732374
18.23,20.3,1783452734328,1783452732403
18.26,13.3,1783452734362,1783452732430
18.30,21.3,1783452734396,1783452732472
18.33,15.3,1783452734429,1783452732499
18.37,23.3,1783452734462,1783452732540
18.40,17.3,1783452734497,1783452732569
18.44,25.3,1783452734531,1783452732611
18.47,20.3,1783452734563,1783452732638
18.49,13.3,1783452734597,1783452732665
18.53,22.3,1783452734630,1783452732707
18.58,30.3,1783452734664,1783452732749
18.60,25.3,1783452734697,1783452732777
18.63,17.3,1783452734732,1783452732804
18.67,26.3,1783452734765,1783452732846
18.70,20.3,1783452734799,1783452732874
18.74,29.3,1783452734832,1783452732916
18.77,22.3,1783452734866,1783452732943
18.80,18.3,1783452734899,1783452732972
18.83,11.3,1783452734932,1783452732998
18.89,46.3,1783452734967,1783452733068
18.90,12.3,1783452735001,1783452733068
18.94,21.3,1783452735034,1783452733110
18.98,29.3,1783452735068,1783452733152
19.01,23.3,1783452735101,1783452733179
19.03,17.3,1783452735135,1783452733207
19.12,67.3,1783452735168,1783452733290
19.12,35.3,1783452735201,1783452733291
19.13,13.2,1783452735236,1783452733304
19.19,37.2,1783452735269,1783452733361
19.20,15.2,1783452735303,1783452733373
19.23,11.2,1783452735336,1783452733402
19.31,61.2,1783452735369,1783452733485
19.31,26.2,1783452735404,1783452733485
19.34,22.2,1783452735436,1783452733513
19.38,29.2,1783452735470,1783452733554
19.41,23.2,1783452735505,1783452733583
19.44,17.2,1783452735538,1783452733610
19.48,24.2,1783452735572,1783452733651
19.53,47.2,1783452735605,1783452733707
19.53,14.2,1783452735638,1783452733707
19.58,23.2,1783452735671,1783452733749
19.60,15.2,1783452735706,1783452733776
19.64,24.2,1783452735739,1783452733818
19.67,18.2,1783452735773,1783452733846
19.70,12.2,1783452735807,1783452733874
19.76,35.2,1783452735840,1783452733930
19.77,14.2,1783452735874,1783452733943
19.81,22.2,1783452735908,1783452733985
19.85,29.2,1783452735942,1783452734026
19.88,24.2,1783452735974,1783452734053
19.91,18.2,1783452736008,1783452734081
19.94,13.2,1783452736042,1783452734110
19.98,20.2,1783452736076,1783452734151
20.01,15.2,1783452736110,1783452734180
20.05,23.2,1783452736142,1783452734220
20.08,18.2,1783452736176,1783452734249
20.12,26.2,1783452736209,1783452734290
20.14,19.2,1783452736243,1783452734317
20.19,26.2,1783452736278,1783452734359
20.21,21.2,1783452736311,1783452734387
20.24,16.2,1783452736344,1783452734415
20.28,23.2,1783452736378,1783452734456
20.31,18.2,1783452736411,1783452734484
20.34,11.2,1783452736445,1783452734511
20.38,23.2,1783452736477,1783452734555
20.41,14.2,1783452736512,1783452734581
20.45,22.2,1783452736546,1783452734623
20.48,15.2,1783452736581,1783452734651
20.52,23.2,1783452736614,1783452734692
20.55,18.2,1783452736647,1783452734720
20.58,13.2,1783452736680,1783452734748
20.62,22.2,1783452736713,1783452734790
20.64,17.2,1783452736746,1783452734818
20.69,22.2,1783452736781,1783452734858
20.73,30.2,1783452736815,1783452734900
20.76,26.2,1783452736848,1783452734929
20.80,34.2,1783452736881,1783452734970
20.83,28.2,1783452736915,1783452734998
20.85,23.2,1783452736948,1783452735026
20.88,16.2,1783452736983,1783452735054
20.92,24.2,1783452737016,1783452735095
20.95,17.2,1783452737050,1783452735122
20.98,14.2,1783452737083,1783452735152
21.02,21.2,1783452737117,1783452735193
21.05,14.2,1783452737152,1783452735221
21.09,23.2,1783452737184,1783452735262
21.12,17.1,1783452737217,1783452735290
21.16,24.1,1783452737251,1783452735331
21.19,17.1,1783452737285,1783452735358
21.21,13.1,1783452737318,1783452735387
21.26,20.1,1783452737352,1783452735428
21.28,15.1,1783452737385,1783452735456
21.32,23.1,1783452737419,1783452735498
21.35,17.1,1783452737453,1783452735526
21.39,25.1,1783452737486,1783452735567
21.42,18.1,1783452737520,1783452735594
